Thu Oct 24 20:06:06 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.140181	0.000000	-0.000055	0.498514

-0.255675	-0.062265	0.003328	0.000007	0.498466
-0.247947	-0.058107	0.006656	0.000005	0.498485
-0.439274	0.014494	0.009984	0.000052	0.498486
-0.224681	-0.069323	0.013312	-0.000000	0.498478
-0.130884	-0.189591	0.016640	-0.000023	0.498258
-0.388407	-0.129016	0.019968	0.000039	0.498163
-0.532246	-0.102953	0.023296	0.000074	0.498090
-0.410365	-0.242274	0.026624	0.000045	0.497848
-0.529847	-0.243143	0.029952	0.000074	0.497729
-0.351631	-0.384211	0.033280	0.000030	0.497536
-0.342362	-0.491218	0.036608	0.000028	0.497267
-0.665074	-0.440456	0.039936	0.000106	0.497083
-0.630230	-0.540255	0.043264	0.000098	0.496857
-0.516188	-0.684379	0.046592	0.000070	0.496594
-0.361016	-0.874223	0.049920	0.000033	0.496252
-0.433493	-0.979960	0.053248	0.000050	0.495905
-0.730416	-1.000129	0.056576	0.000122	0.495560
-0.777408	-1.110834	0.059904	0.000134	0.495225
-0.709390	-1.268035	0.063232	0.000117	0.494881
-0.566950	-1.458486	0.066560	0.000083	0.494524
-0.669243	-1.598075	0.069888	0.000108	0.494057
-0.815532	-1.702541	0.073216	0.000143	0.493639
-0.862123	-1.840022	0.076544	0.000154	0.493233
-1.111362	-1.921284	0.079872	0.000215	0.492773
-0.876299	-2.160290	0.083200	0.000158	0.492378
-1.005851	-2.314704	0.086528	0.000189	0.491844
-1.133946	-2.442975	0.089856	0.000220	0.491380
-1.489065	-2.484303	0.093184	0.000307	0.490918
-1.474158	-2.659590	0.096512	0.000303	0.490471
-1.455378	-2.862991	0.099840	0.000298	0.489953
-1.354704	-3.098516	0.103168	0.000274	0.489431
-1.467917	-3.257065	0.106496	0.000302	0.488899
-1.838115	-3.313164	0.109824	0.000391	0.488381
-1.816013	-3.520154	0.113152	0.000386	0.487855
-1.737353	-3.748171	0.116480	0.000367	0.487329
-1.598163	-4.022067	0.119808	0.000333	0.486740
-1.981928	-4.105880	0.123136	0.000426	0.486133
-2.223632	-4.230109	0.126464	0.000485	0.485560
-2.375809	-4.386880	0.129792	0.000522	0.484989
-2.240274	-4.645532	0.133120	0.000489	0.484435
-2.340771	-4.837157	0.136448	0.000513	0.483822
-2.414189	-5.034981	0.139776	0.000531	0.483218
-2.720577	-5.143234	0.143104	0.000606	0.482619
-2.913385	-5.281000	0.146432	0.000652	0.482055
-2.653761	-5.607138	0.149760	0.000589	0.481442
-2.636545	-5.854780	0.153088	0.000585	0.480793
-3.046174	-5.945231	0.156416	0.000685	0.480134
-3.343790	-6.054847	0.159744	0.000757	0.479536
-3.635559	-6.157706	0.163072	0.000827	0.478961
-3.352744	-6.484801	0.166400	0.000759	0.478366
-3.328984	-6.734188	0.169728	0.000753	0.477715
