Fri Oct 25 02:28:10 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.123747	0.000000	-0.000086	0.499110

0.174455	-0.286064	0.003328	-0.000128	0.498860
0.122820	-0.292596	0.006656	-0.000116	0.498793
-0.026924	-0.304512	0.009984	-0.000079	0.498616
0.064609	-0.391133	0.013312	-0.000102	0.498481
0.157157	-0.501399	0.016640	-0.000124	0.498285
0.344246	-0.664297	0.019968	-0.000169	0.498045
0.081014	-0.666731	0.023296	-0.000106	0.497782
0.100298	-0.767628	0.026624	-0.000110	0.497538
0.095854	-0.879991	0.029952	-0.000109	0.497242
0.051240	-0.990576	0.033280	-0.000098	0.496911
0.202341	-1.182675	0.036608	-0.000135	0.496559
-0.057327	-1.223880	0.039936	-0.000072	0.496197
-0.331275	-1.252886	0.043264	-0.000006	0.495852
-0.203103	-1.423208	0.046592	-0.000037	0.495534
-0.160973	-1.575893	0.049920	-0.000047	0.495177
0.088922	-1.835865	0.053248	-0.000108	0.494743
-0.097222	-1.942402	0.056576	-0.000063	0.494281
-0.393384	-2.002104	0.059904	0.000009	0.493833
-0.673409	-2.053904	0.063232	0.000077	0.493421
-0.303900	-2.355729	0.066560	-0.000012	0.492995
-0.363392	-2.535331	0.069888	0.000002	0.492465
-0.447154	-2.694530	0.073216	0.000022	0.491963
-1.169573	-2.601762	0.076544	0.000197	0.491491
-0.773085	-2.911420	0.079872	0.000101	0.491070
-0.683947	-3.138120	0.083200	0.000080	0.490561
-0.462842	-3.440769	0.086528	0.000026	0.489982
-0.497084	-3.657749	0.089856	0.000034	0.489375
-0.922874	-3.730462	0.093184	0.000138	0.488759
-0.898860	-3.952985	0.096512	0.000132	0.488194
-0.945650	-4.168794	0.099840	0.000143	0.487575
-0.769435	-4.476238	0.103168	0.000100	0.486935
-1.077765	-4.608352	0.106496	0.000175	0.486275
-1.551428	-4.661732	0.109824	0.000290	0.485658
-1.592553	-4.859862	0.113152	0.000300	0.485089
-1.514271	-5.117028	0.116480	0.000281	0.484482
-1.497139	-5.370331	0.119808	0.000277	0.483822
-2.583403	-5.202153	0.123136	0.000540	0.483177
-7.165292	-3.533998	0.126464	0.001650	0.483019
-3.757392	-4.784298	0.129792	0.000824	0.483111
-5.533914	-4.185078	0.133120	0.001255	0.482922
-6.181965	-3.939050	0.136448	0.001412	0.482927
-8.491358	-3.012015	0.139776	0.001971	0.483079
-5.021263	-4.258519	0.143104	0.001130	0.483244
-5.116677	-4.298448	0.146432	0.001153	0.483041
-5.522902	-4.203677	0.149760	0.001252	0.482885
-7.867545	-3.321893	0.153088	0.001820	0.482879
-7.631823	-3.333049	0.156416	0.001763	0.483087
-5.923381	-3.930458	0.159744	0.001349	0.483212
-5.210395	-4.333907	0.163072	0.001176	0.482852
-7.066531	-3.724332	0.166400	0.001626	0.482610
-8.080831	-3.329731	0.169728	0.001871	0.482643
-8.390570	-3.105999	0.173056	0.001946	0.482930
-6.068450	-3.978877	0.176384	0.001384	0.482937
-6.295483	-3.989514	0.179712	0.001439	0.482679
-6.262388	-4.108542	0.183040	0.001431	0.482394
-8.344278	-3.354620	0.186368	0.001935	0.482311
-7.349829	-3.733597	0.189696	0.001694	0.482300
-6.645597	-4.014317	0.193024	0.001523	0.482260
-5.617427	-4.589282	0.196352	0.001274	0.481757
-7.072544	-4.182820	0.199680	0.001627	0.481375
-7.855180	-3.974660	0.203008	0.001816	0.481142
-8.478240	-3.768687	0.206336	0.001967	0.481064
-8.564913	-3.733990	0.209664	0.001988	0.481070
-7.654241	-4.078824	0.212992	0.001768	0.481066
-8.462893	-3.887360	0.216320	0.001963	0.480761
-9.221269	-3.602067	0.219648	0.002147	0.480760
-11.379886	-2.772871	0.222976	0.002670	0.480801
-9.557701	-3.364329	0.226304	0.002229	0.481058
-7.795310	-4.071246	0.229632	0.001802	0.480944
-6.640180	-4.637804	0.232960	0.001522	0.480592
-9.344089	-3.788206	0.236288	0.002177	0.480135
-10.854151	-3.221114	0.239616	0.002543	0.480129
-11.448913	-2.904421	0.242944	0.002687	0.480378
-8.262844	-4.095477	0.246272	0.001915	0.480405
-7.405772	-4.589404	0.249600	0.001707	0.479945
-8.290951	-4.458713	0.252928	0.001921	0.479398
-11.693095	-3.240620	0.256256	0.002746	0.479224
-11.717008	-3.127903	0.259584	0.002751	0.479504
-9.353174	-4.025673	0.262912	0.002179	0.479486
-8.051793	-4.671834	0.266240	0.001863	0.479067
-9.768591	-4.190792	0.269568	0.002279	0.478618
-11.458257	-3.565202	0.272896	0.002689	0.478587
-12.479476	-3.179393	0.276224	0.002936	0.478589
-10.737068	-3.836604	0.279552	0.002514	0.478589
-9.840695	-4.260422	0.282880	0.002297	0.478357
-10.516327	-4.126602	0.286208	0.002460	0.478030
-12.886374	-3.256068	0.289536	0.003034	0.477967
-14.510243	-2.555576	0.292864	0.003428	0.478206
-11.685244	-3.483648	0.296192	0.002743	0.478577
-10.144843	-4.202866	0.299520	0.002370	0.478203
-10.039328	-4.393055	0.302848	0.002345	0.477796
-12.138986	-3.744520	0.306176	0.002853	0.477408
-12.780094	-3.524366	0.309504	0.003009	0.477350
-11.848088	-3.878418	0.312832	0.002783	0.477343
-11.084129	-4.253309	0.316160	0.002598	0.477108
-11.782506	-4.122413	0.319488	0.002767	0.476749
-12.298742	-4.018801	0.322816	0.002892	0.476502
-13.731620	-3.514648	0.326144	0.003239	0.476404
-13.697364	-3.528047	0.329472	0.003231	0.476403
-12.901293	-3.829899	0.332800	0.003038	0.476398
-12.816228	-3.911386	0.336128	0.003017	0.476264
-13.907456	-3.558365	0.339456	0.003281	0.476106
-14.437889	-3.360008	0.342784	0.003410	0.476101
-13.802212	-3.599411	0.346112	0.003256	0.476102
-13.268462	-3.831053	0.349440	0.003126	0.476020
-13.257711	-3.919410	0.352768	0.003124	0.475791
-13.645988	-3.864511	0.356096	0.003218	0.475542
-14.708306	-3.486866	0.359424	0.003475	0.475480
-14.807481	-3.447540	0.362752	0.003499	0.475485
-13.945950	-3.814075	0.366080	0.003290	0.475372
-13.839479	-3.935035	0.369408	0.003265	0.475152
-13.487212	-4.195780	0.372736	0.003179	0.474804
-14.855472	-3.773167	0.376064	0.003511	0.474550
-14.422453	-3.968716	0.379392	0.003406	0.474462
-14.528372	-4.007555	0.382720	0.003431	0.474247
-14.358733	-4.163826	0.386048	0.003390	0.473995
-15.187595	-3.944321	0.389376	0.003591	0.473741
-15.745613	-3.778858	0.392704	0.003726	0.473619
-16.673161	-3.427249	0.396032	0.003951	0.473624
-16.339001	-3.554074	0.399360	0.003870	0.473622
-16.084603	-3.651682	0.402688	0.003808	0.473617
-16.217515	-3.600714	0.406016	0.003840	0.473620
-16.570857	-3.551383	0.409344	0.003926	0.473391
-17.317834	-3.223288	0.412672	0.004107	0.473518
-15.671267	-3.882427	0.416000	0.003708	0.473413
-16.698841	-3.533082	0.419328	0.003957	0.473309
-15.287284	-4.166910	0.422656	0.003615	0.473032
-16.897059	-3.685219	0.425984	0.004005	0.472689
-15.925507	-4.096610	0.429312	0.003770	0.472566
-16.815134	-3.827943	0.432640	0.003985	0.472383
-16.585333	-4.017571	0.435968	0.003929	0.472101
-17.235863	-3.827201	0.439296	0.004087	0.471951
-16.671448	-4.113725	0.442624	0.003950	0.471749
-18.095242	-3.687967	0.445952	0.004295	0.471444
-17.182385	-4.034183	0.449280	0.004074	0.471438
-19.327349	-3.224841	0.452608	0.004593	0.471440
-18.216835	-3.643337	0.455936	0.004324	0.471441
-19.593689	-3.124615	0.459264	0.004658	0.471440
-17.252415	-4.029495	0.462592	0.004091	0.471380
-17.885443	-3.878379	0.465920	0.004244	0.471139
-17.185754	-4.262449	0.469248	0.004074	0.470809
-19.849098	-3.293976	0.472576	0.004720	0.470711
-18.428677	-3.862504	0.475904	0.004376	0.470620
-19.495991	-3.494509	0.479232	0.004634	0.470526
-18.485318	-3.899411	0.482560	0.004389	0.470460
-19.734023	-3.517380	0.485888	0.004692	0.470216
-19.217706	-3.713703	0.489216	0.004567	0.470212
-19.578787	-3.584124	0.492544	0.004654	0.470194
-18.554411	-4.081468	0.495872	0.004406	0.469888
-17.495345	-4.621383	0.499200	0.004149	0.469501
-18.543086	-4.392842	0.502528	0.004403	0.469042
-21.444515	-3.324977	0.505856	0.005106	0.468969
-21.313307	-3.375285	0.509184	0.005074	0.468967
-20.166620	-3.807911	0.512512	0.004796	0.468967
-18.768478	-4.414391	0.515840	0.004458	0.468748
-20.086425	-4.056878	0.519168	0.004777	0.468363
-23.210024	-2.870044	0.522496	0.005533	0.468388
-21.641263	-3.362844	0.525824	0.005153	0.468661
-22.842330	-2.886560	0.529152	0.005444	0.468726
-19.174009	-4.262668	0.532480	0.004556	0.468746
-21.515381	-3.526233	0.535808	0.005123	0.468341
-20.566166	-3.921140	0.539136	0.004893	0.468239
-23.551658	-2.827730	0.542464	0.005616	0.468150
