Fri Oct 25 00:33:48 2024


Number of Points = 51000

Depth (nm)	Load (µN)	Time (s)	Disp. Voltage(V)	Force Voltage(V)
0.000000	0.157717	0.000000	0.000098	0.500030
-0.064557	0.182533	0.003328	0.000113	0.500032
0.002003	0.154432	0.006656	0.000097	0.500024
0.264769	0.055492	0.009984	0.000033	0.500024
0.007936	0.152186	0.013312	0.000095	0.500024
0.043326	0.107121	0.016640	0.000087	0.499942
-0.211298	0.123608	0.019968	0.000149	0.499737
-0.098001	0.080893	0.023296	0.000121	0.499737
-0.079364	0.071722	0.026624	0.000116	0.499732
-0.062823	-0.012259	0.029952	0.000112	0.499531
-0.178387	-0.009095	0.033280	0.000140	0.499426
-0.152709	-0.096120	0.036608	0.000134	0.499226
-0.270374	-0.095548	0.039936	0.000163	0.499113
-0.050448	-0.276380	0.043264	0.000109	0.498859
-0.111919	-0.341047	0.046592	0.000124	0.498631
-0.118560	-0.426219	0.049920	0.000126	0.498404
-0.263877	-0.481780	0.053248	0.000161	0.498118
0.087032	-0.742865	0.056576	0.000076	0.497783
-0.450791	-0.648484	0.059904	0.000206	0.497502
-0.107766	-0.910263	0.063232	0.000123	0.497157
-0.031537	-1.084113	0.066560	0.000105	0.496780
-0.088394	-1.221814	0.069888	0.000118	0.496366
-0.247591	-1.340675	0.073216	0.000157	0.495899
-0.316875	-1.462169	0.076544	0.000174	0.495514
-0.384292	-1.588767	0.079872	0.000190	0.495118
0.027709	-1.942585	0.083200	0.000090	0.494599
-0.096751	-2.090285	0.086528	0.000121	0.494090
-0.324144	-2.211332	0.089856	0.000176	0.493548
-0.687577	-2.272003	0.093184	0.000264	0.493030
-0.656762	-2.467596	0.096512	0.000256	0.492548
-0.435473	-2.748153	0.099840	0.000203	0.492030
-0.223261	-3.056080	0.103168	0.000151	0.491430
-0.693539	-3.106572	0.106496	0.000265	0.490831
-1.022802	-3.198717	0.109824	0.000345	0.490261
-0.765419	-3.498953	0.113152	0.000283	0.489724
-0.386660	-3.881822	0.116480	0.000191	0.489090
-0.527388	-4.102748	0.119808	0.000225	0.488365
-0.758540	-4.280024	0.123136	0.000281	0.487664
-1.129014	-4.382673	0.126464	0.000371	0.487021
-1.210465	-4.596244	0.129792	0.000391	0.486372
-0.949192	-4.942407	0.133120	0.000327	0.485713
-0.931980	-5.220459	0.136448	0.000323	0.484990
-1.009432	-5.479219	0.139776	0.000342	0.484221
-1.378610	-5.610619	0.143104	0.000431	0.483498
-1.450633	-5.845751	0.146432	0.000449	0.482796
-1.362619	-6.157880	0.149760	0.000428	0.482048
-1.426484	-6.412802	0.153088	0.000443	0.481299
-1.947949	-6.504939	0.156416	0.000569	0.480523
-3.245184	-6.261885	0.159744	0.000884	0.479860
-11.811927	-3.032066	0.163072	0.002959	0.479861
-9.484855	-3.528788	0.166400	0.002395	0.480886
-10.845764	-2.842416	0.169728	0.002725	0.481352
-9.344442	-3.103800	0.173056	0.002361	0.482170
-8.954703	-3.111433	0.176384	0.002266	0.482544
-7.969139	-3.344350	0.179712	0.002028	0.482916
-8.206152	-3.192713	0.183040	0.002085	0.483083
-8.469991	-3.014514	0.186368	0.002149	0.483294
-6.913758	-3.499595	0.189696	0.001772	0.483566
-7.452671	-3.416730	0.193024	0.001902	0.483244
-8.001876	-3.113880	0.196352	0.002035	0.483501
-8.317488	-2.974495	0.199680	0.002112	0.483556
-6.963975	-3.479028	0.203008	0.001784	0.483571
-7.520945	-3.361143	0.206336	0.001919	0.483325
-7.299956	-3.473820	0.209664	0.001865	0.483246
-7.556271	-3.378150	0.212992	0.001927	0.483244
-6.721803	-3.772462	0.216320	0.001725	0.483030
-8.361077	-3.190025	0.219648	0.002122	0.482935
-5.643620	-4.326005	0.222976	0.001464	0.482637
-9.138159	-3.126991	0.226304	0.002310	0.482319
-8.007729	-3.550098	0.229632	0.002036	0.482328
-11.615720	-2.154955	0.232960	0.002910	0.482422
-7.657369	-3.585776	0.236288	0.001951	0.482587
-9.188894	-3.111266	0.239616	0.002322	0.482311
-8.003279	-3.562396	0.242944	0.002035	0.482300
-10.771743	-2.548048	0.246272	0.002706	0.482222
-8.575763	-3.341416	0.249600	0.002174	0.482314
-9.501872	-2.993258	0.252928	0.002398	0.482312
-8.101994	-3.654343	0.256256	0.002059	0.481954
-9.072730	-3.388699	0.259584	0.002294	0.481685
-9.109343	-3.435503	0.262912	0.002303	0.481522
-11.106942	-2.713061	0.266240	0.002787	0.481440
-9.361436	-3.348981	0.269568	0.002364	0.481500
-7.973554	-3.967374	0.272896	0.002028	0.481244
-8.225060	-4.078923	0.276224	0.002089	0.480689
-10.418978	-3.341161	0.279552	0.002620	0.480449
-11.715076	-2.847178	0.282880	0.002934	0.480463
-10.906774	-3.152934	0.286208	0.002738	0.480461
-9.311588	-3.795249	0.289536	0.002352	0.480351
-9.465722	-3.861353	0.292864	0.002389	0.480016
-11.434697	-3.176977	0.296192	0.002866	0.479860
-12.221686	-2.878995	0.299520	0.003057	0.479864
-13.179244	-2.480045	0.302848	0.003289	0.479966
-9.194203	-3.962789	0.306176	0.002323	0.480019
-10.174716	-3.814437	0.309504	0.002561	0.479423
-11.816138	-3.266799	0.312832	0.002958	0.479231
-15.380323	-1.880885	0.316160	0.003822	0.479345
-12.317642	-2.849517	0.319488	0.003080	0.479847
-10.090379	-3.777230	0.322816	0.002540	0.479609
-8.699138	-4.530356	0.326144	0.002203	0.478992
-12.102450	-3.452163	0.329472	0.003027	0.478439
-12.920519	-3.121026	0.332800	0.003226	0.478500
