Thu Oct 24 23:12:56 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.105109	0.000000	-0.000018	0.498839

0.017338	-0.133876	0.003328	-0.000022	0.498781
-0.302130	-0.012767	0.006656	0.000055	0.498784
-0.143606	-0.068999	0.009984	0.000017	0.498793
0.006815	-0.124588	0.013312	-0.000020	0.498796
-0.046878	-0.170991	0.016640	-0.000007	0.498623
-0.102075	-0.203314	0.019968	0.000007	0.498485
-0.081184	-0.282074	0.023296	0.000001	0.498302
-0.209514	-0.284976	0.026624	0.000032	0.498169
0.139452	-0.511572	0.029952	-0.000052	0.497922
0.043182	-0.571601	0.033280	-0.000029	0.497672
0.016150	-0.671199	0.036608	-0.000022	0.497386
-0.556523	-0.547856	0.039936	0.000117	0.497146
-0.090953	-0.823642	0.043264	0.000004	0.496885
-0.073141	-0.955667	0.046592	-0.000001	0.496559
-0.069700	-1.095534	0.049920	-0.000001	0.496198
-0.531145	-1.040313	0.053248	0.000110	0.495889
-0.320017	-1.254003	0.056576	0.000059	0.495539
-0.476385	-1.328051	0.059904	0.000097	0.495192
-0.372389	-1.503104	0.063232	0.000072	0.494837
-0.568152	-1.598188	0.066560	0.000119	0.494395
-0.290156	-1.869668	0.069888	0.000052	0.493959
-0.292262	-2.051245	0.073216	0.000052	0.493481
-0.182922	-2.286700	0.076544	0.000026	0.492972
-0.403193	-2.400934	0.079872	0.000079	0.492454
-0.636917	-2.502122	0.083200	0.000136	0.491957
-0.380358	-2.797799	0.086528	0.000074	0.491434
-0.270893	-3.061406	0.089856	0.000047	0.490848
-0.356097	-3.258588	0.093184	0.000068	0.490244
-0.707539	-3.356178	0.096512	0.000153	0.489637
-0.532964	-3.654782	0.099840	0.000111	0.489021
-0.271202	-4.011461	0.103168	0.000048	0.488339
-0.418437	-4.225641	0.106496	0.000083	0.487624
-0.764270	-4.346916	0.109824	0.000167	0.486956
-0.967138	-4.522546	0.113152	0.000216	0.486286
-1.223059	-4.667417	0.116480	0.000278	0.485644
-0.782924	-5.082171	0.119808	0.000172	0.484981
-0.748299	-5.382899	0.123136	0.000163	0.484213
-1.231160	-5.471551	0.126464	0.000280	0.483489
-1.630749	-5.577405	0.129792	0.000377	0.482803
-1.581554	-5.842935	0.133120	0.000365	0.482141
-1.032478	-6.327699	0.136448	0.000232	0.481395
-0.849246	-6.701858	0.139776	0.000188	0.480575
-1.383650	-6.806062	0.143104	0.000317	0.479751
-1.842354	-6.926179	0.146432	0.000429	0.478961
-1.554867	-7.297323	0.149760	0.000359	0.478251
-1.006954	-7.834046	0.153088	0.000226	0.477357
-0.718922	-8.306903	0.156416	0.000157	0.476369
-1.490218	-8.357659	0.159744	0.000343	0.475441
-1.891552	-8.523333	0.163072	0.000441	0.474578
-1.791781	-8.881639	0.166400	0.000417	0.473703
-1.127356	-9.467781	0.169728	0.000256	0.472786
-1.207964	-9.823909	0.173056	0.000275	0.471727
-1.942922	-9.903180	0.176384	0.000453	0.470749
-2.579722	-9.981764	0.179712	0.000608	0.469872
-2.273185	-10.419914	0.183040	0.000533	0.468984
-1.842898	-10.937351	0.186368	0.000429	0.468003
-1.907104	-11.280708	0.189696	0.000445	0.466986
-2.747498	-11.326077	0.193024	0.000648	0.465982
-3.117932	-11.497632	0.196352	0.000738	0.465117
-3.228084	-11.769414	0.199680	0.000765	0.464245
-3.164454	-12.109612	0.203008	0.000750	0.463363
-9.899184	-9.788966	0.206336	0.002381	0.462750
-11.154987	-9.087336	0.209664	0.002685	0.463387
-7.817411	-10.340550	0.212992	0.001877	0.463403
-9.114296	-9.867603	0.216320	0.002191	0.463358
-11.382506	-8.945350	0.219648	0.002740	0.463544
-12.355541	-8.396320	0.222976	0.002976	0.464052
-11.023394	-8.688412	0.226304	0.002653	0.464638
-8.382315	-9.691899	0.229632	0.002013	0.464618
-8.571133	-9.622635	0.232960	0.002059	0.464613
-9.826435	-9.258973	0.236288	0.002363	0.464307
-11.183484	-8.648724	0.239616	0.002692	0.464581
-9.601766	-9.239098	0.242944	0.002309	0.464599
-8.415709	-9.684162	0.246272	0.002021	0.464605
-8.297790	-9.868398	0.249600	0.001993	0.464216
-9.767787	-9.396567	0.252928	0.002349	0.463986
-11.366610	-8.795529	0.256256	0.002736	0.463981
-10.710552	-8.950356	0.259584	0.002577	0.464239
-9.053992	-9.645676	0.262912	0.002176	0.464043
-7.668306	-10.305963	0.266240	0.001840	0.463659
-10.261305	-9.498012	0.269568	0.002468	0.463184
-12.113424	-8.764085	0.272896	0.002917	0.463283
-12.356650	-8.595542	0.276224	0.002976	0.463498
-9.472693	-9.679466	0.279552	0.002277	0.463508
-10.077188	-9.586163	0.282880	0.002423	0.463132
-9.869911	-9.751931	0.286208	0.002373	0.462888
-12.165022	-8.937539	0.289536	0.002929	0.462745
-11.469730	-9.202134	0.292864	0.002761	0.462738
-11.143938	-9.324632	0.296192	0.002682	0.462739
-10.138809	-9.831754	0.299520	0.002438	0.462382
-11.804754	-9.299184	0.302848	0.002842	0.462114
-13.221520	-8.762616	0.306176	0.003185	0.462120
-13.099300	-8.726089	0.309504	0.003155	0.462351
-10.405061	-9.781537	0.312832	0.002503	0.462242
-10.273647	-9.997744	0.316160	0.002471	0.461775
-11.673426	-9.637266	0.319488	0.002810	0.461306
-13.067293	-9.154011	0.322816	0.003148	0.461187
-13.057318	-9.156218	0.326144	0.003145	0.461191
-12.175761	-9.489560	0.329472	0.002932	0.461189
-12.534456	-9.454120	0.332800	0.003018	0.460909
-13.042451	-9.276406	0.336128	0.003141	0.460870
