Thu Oct 24 20:44:56 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.136867	0.000000	-0.000090	0.498163

-0.042863	-0.122640	0.003328	-0.000080	0.498158
-0.129492	-0.090045	0.006656	-0.000059	0.498158
-0.101149	-0.187598	0.009984	-0.000066	0.497932
0.020254	-0.267736	0.013312	-0.000095	0.497843
0.014195	-0.350871	0.016640	-0.000094	0.497621
-0.109713	-0.351218	0.019968	-0.000064	0.497499
0.061848	-0.518300	0.023296	-0.000105	0.497232
-0.150966	-0.539321	0.026624	-0.000054	0.496969
-0.360317	-0.550132	0.029952	-0.000003	0.496736
-0.166862	-0.711004	0.033280	-0.000050	0.496507
-0.278902	-0.781757	0.036608	-0.000023	0.496212
-0.294719	-0.883661	0.039936	-0.000019	0.495931
-0.432356	-0.950506	0.043264	0.000015	0.495621
-0.376822	-1.101977	0.046592	0.000001	0.495280
-0.515792	-1.179896	0.049920	0.000035	0.494940
-0.439454	-1.331341	0.053248	0.000016	0.494619
-0.661649	-1.389450	0.056576	0.000070	0.494248
-0.771604	-1.487238	0.059904	0.000097	0.493884
-0.999546	-1.534268	0.063232	0.000152	0.493536
-0.934812	-1.702203	0.066560	0.000136	0.493159
-1.038582	-1.801778	0.069888	0.000162	0.492795
-1.238077	-1.876937	0.073216	0.000210	0.492401
-1.331576	-1.985903	0.076544	0.000233	0.492022
-1.582818	-2.026019	0.079872	0.000294	0.491667
-1.584814	-2.172263	0.083200	0.000294	0.491280
-1.402146	-2.401336	0.086528	0.000250	0.490858
-1.655576	-2.459899	0.089856	0.000311	0.490452
-1.609557	-2.658032	0.093184	0.000300	0.489975
-1.812248	-2.733460	0.096512	0.000349	0.489574
-1.776412	-2.937993	0.099840	0.000341	0.489069
-1.960788	-3.030493	0.103168	0.000385	0.488640
-2.154680	-3.141387	0.106496	0.000432	0.488153
-2.316269	-3.234789	0.109824	0.000472	0.487744
-2.293229	-3.425427	0.113152	0.000466	0.487261
-2.526466	-3.508689	0.116480	0.000523	0.486807
-3.334036	-3.358835	0.119808	0.000718	0.486396
-7.579174	-1.809215	0.123136	0.001747	0.486262
-5.632085	-2.395216	0.126464	0.001275	0.486655
-4.464256	-2.909441	0.129792	0.000992	0.486458
-4.341093	-3.013046	0.133120	0.000962	0.486306
-5.149221	-2.812990	0.136448	0.001158	0.486028
-7.279193	-1.993053	0.139776	0.001674	0.486074
-4.791418	-2.908280	0.143104	0.001071	0.486133
-6.449982	-2.316162	0.146432	0.001473	0.486045
-4.504088	-3.129508	0.149760	0.001002	0.485833
-5.722609	-2.717994	0.153088	0.001297	0.485706
-5.781118	-2.809187	0.156416	0.001311	0.485404
-7.732313	-2.073534	0.159744	0.001784	0.485404
-4.690779	-3.265921	0.163072	0.001047	0.485282
-5.747207	-2.941027	0.166400	0.001303	0.485087
-5.202150	-3.325120	0.169728	0.001171	0.484610
-6.541096	-2.873831	0.173056	0.001495	0.484467
-6.183736	-3.101311	0.176384	0.001409	0.484220
-8.161502	-2.371902	0.179712	0.001888	0.484177
-5.441041	-3.466667	0.183040	0.001229	0.483991
