Thu Oct 24 23:30:21 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.103145	0.000000	0.000068	0.500342

0.111998	0.061329	0.003328	0.000041	0.500343
0.086339	0.070981	0.006656	0.000047	0.500344
0.264228	-0.081307	0.009984	0.000004	0.500123
0.530626	-0.220028	0.013312	-0.000060	0.500024
0.200345	-0.115941	0.016640	0.000020	0.499972
0.002494	-0.134034	0.019968	0.000068	0.499732
0.154526	-0.192499	0.023296	0.000031	0.499729
0.513518	-0.407831	0.026624	-0.000056	0.499522
0.410917	-0.464097	0.029952	-0.000031	0.499277
0.066647	-0.416057	0.033280	0.000052	0.499065
-0.099038	-0.459962	0.036608	0.000092	0.498790
-0.080114	-0.532105	0.039936	0.000087	0.498621
0.120155	-0.694943	0.043264	0.000039	0.498395
0.196329	-0.855418	0.046592	0.000020	0.498053
-0.097151	-0.868173	0.049920	0.000091	0.497733
-0.384017	-0.865271	0.053248	0.000161	0.497459
-0.275919	-1.014485	0.056576	0.000135	0.497177
0.195937	-1.333494	0.059904	0.000020	0.496810
0.212826	-1.489456	0.063232	0.000016	0.496421
-0.260550	-1.487060	0.066560	0.000131	0.495962
-0.465779	-1.554569	0.069888	0.000181	0.495584
-0.202408	-1.799829	0.073216	0.000117	0.495203
-0.034893	-2.040162	0.076544	0.000076	0.494740
-0.142587	-2.187240	0.079872	0.000102	0.494250
-0.345496	-2.322701	0.083200	0.000152	0.493695
-0.752105	-2.334233	0.086528	0.000250	0.493263
-0.450825	-2.643130	0.089856	0.000177	0.492751
-0.134653	-2.961471	0.093184	0.000100	0.492228
-0.330033	-3.112204	0.096512	0.000148	0.491638
-0.514812	-3.257415	0.099840	0.000193	0.491073
-0.751328	-3.375355	0.103168	0.000250	0.490527
-0.848129	-3.559101	0.106496	0.000273	0.489946
-0.399952	-3.957309	0.109824	0.000165	0.489341
-0.546156	-4.163212	0.113152	0.000200	0.488651
-0.927443	-4.261919	0.116480	0.000293	0.488009
-1.046451	-4.457699	0.119808	0.000321	0.487371
-0.978634	-4.721814	0.123136	0.000305	0.486737
-0.687152	-5.092597	0.126464	0.000234	0.486044
-0.462224	-5.455531	0.129792	0.000180	0.485303
-0.961576	-5.555703	0.133120	0.000301	0.484534
-1.257105	-5.718008	0.136448	0.000373	0.483803
-1.080557	-6.057181	0.139776	0.000330	0.483074
-1.004291	-6.370716	0.143104	0.000311	0.482311
-1.138295	-6.625823	0.146432	0.000344	0.481490
-1.582414	-6.741885	0.149760	0.000451	0.480728
-1.739813	-6.955576	0.153088	0.000490	0.479993
-1.763058	-7.222186	0.156416	0.000495	0.479251
-1.833148	-7.475604	0.159744	0.000512	0.478495
-5.549338	-6.340591	0.163072	0.001413	0.477776
-11.976967	-3.699996	0.166400	0.002970	0.478364
-5.421718	-6.048173	0.169728	0.001381	0.478697
-5.893918	-5.893726	0.173056	0.001496	0.478634
-6.095722	-5.920583	0.176384	0.001545	0.478356
-8.977173	-4.778444	0.179712	0.002243	0.478507
-5.301742	-6.126255	0.183040	0.001352	0.478609
-6.082870	-5.946118	0.186368	0.001541	0.478300
-4.902992	-6.483358	0.189696	0.001256	0.478050
-8.975385	-5.056082	0.193024	0.002242	0.477758
-8.882444	-4.945440	0.196352	0.002220	0.478152
-9.174365	-4.780322	0.199680	0.002290	0.478302
-6.107288	-5.886614	0.203008	0.001547	0.478437
-7.878507	-5.368932	0.206336	0.001976	0.478031
-9.156435	-4.813679	0.209664	0.002286	0.478230
-9.844740	-4.521936	0.212992	0.002452	0.478318
-7.976737	-5.116595	0.216320	0.002000	0.478614
-5.333859	-6.244907	0.219648	0.001360	0.478258
-8.100397	-5.302431	0.222976	0.002030	0.477986
-7.936621	-5.477394	0.226304	0.001990	0.477680
-11.089319	-4.242835	0.229632	0.002754	0.477804
-5.446028	-6.374624	0.232960	0.001387	0.477793
-6.590445	-6.175497	0.236288	0.001664	0.477164
-5.111803	-6.950225	0.239616	0.001306	0.476575
-10.027399	-5.262993	0.242944	0.002496	0.476124
-8.588687	-5.807439	0.246272	0.002148	0.476118
-10.498239	-5.086940	0.249600	0.002610	0.476120
-6.180131	-6.790690	0.252928	0.001564	0.475915
-9.781641	-5.591909	0.256256	0.002437	0.475482
-9.213419	-5.835891	0.259584	0.002299	0.475401
-12.586176	-4.584712	0.262912	0.003116	0.475346
-8.927375	-5.842076	0.266240	0.002230	0.475678
-9.657075	-5.720521	0.269568	0.002406	0.475260
-9.952253	-5.636241	0.272896	0.002478	0.475187
-12.077673	-4.832865	0.276224	0.002993	0.475193
-13.195281	-4.275302	0.279552	0.003263	0.475564
-11.815917	-4.710733	0.282880	0.002929	0.475794
-10.307325	-5.279222	0.286208	0.002564	0.475795
-9.204182	-5.820703	0.289536	0.002296	0.475454
-10.528633	-5.419200	0.292864	0.002617	0.475188
-10.657919	-5.447454	0.296192	0.002649	0.474978
-10.262115	-5.636424	0.299520	0.002553	0.474870
-10.521659	-5.647717	0.302848	0.002615	0.474573
-9.649146	-6.109457	0.306176	0.002404	0.474211
-11.934562	-5.350288	0.309504	0.002958	0.473931
-9.753133	-6.231844	0.312832	0.002429	0.473770
-11.991804	-5.442395	0.316160	0.002972	0.473621
-9.486664	-6.550622	0.319488	0.002365	0.473174
-11.602321	-5.911757	0.322816	0.002877	0.472739
-10.826169	-6.293686	0.326144	0.002689	0.472495
-14.931108	-4.755748	0.329472	0.003684	0.472468
-14.405154	-4.867943	0.332800	0.003556	0.472704
-14.677579	-4.662860	0.336128	0.003622	0.472985
-11.738780	-5.765715	0.339456	0.002910	0.472999
-11.591856	-5.938178	0.342784	0.002874	0.472679
-12.719834	-5.616389	0.346112	0.003148	0.472396
-13.479196	-5.331556	0.349440	0.003331	0.472392
-15.120378	-4.710767	0.352768	0.003729	0.472397
-12.093850	-5.868700	0.356096	0.002996	0.472352
-13.593493	-5.404126	0.359424	0.003359	0.472075
-11.705203	-6.198315	0.362752	0.002902	0.471850
-16.566508	-4.446431	0.366080	0.004079	0.471628
-13.138825	-5.624697	0.369408	0.003249	0.471941
-12.500228	-6.016275	0.372736	0.003094	0.471528
-10.877367	-6.802659	0.376064	0.002701	0.471049
-15.001171	-5.431309	0.379392	0.003700	0.470545
-16.293087	-4.896638	0.382720	0.004013	0.470675
-16.891609	-4.583172	0.386048	0.004158	0.470917
-12.786522	-6.105180	0.389376	0.003163	0.470988
-12.495611	-6.427500	0.392704	0.003093	0.470404
-13.651819	-6.151317	0.396032	0.003373	0.469965
-18.273339	-4.459999	0.399360	0.004492	0.469823
-16.765685	-4.888667	0.402688	0.004127	0.470208
-15.708261	-5.285931	0.406016	0.003871	0.470213
-12.396711	-6.618223	0.409344	0.003069	0.469983
