Fri Oct 25 01:36:01 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.081109	0.000000	0.000054	0.500944

0.048072	0.064127	0.003328	0.000042	0.500948
-0.114640	0.127094	0.006656	0.000082	0.500952
0.268998	-0.036977	0.009984	-0.000011	0.500902
0.048540	-0.056079	0.013312	0.000042	0.500638
0.221567	-0.120561	0.016640	0.000000	0.500640
-0.054510	-0.043661	0.019968	0.000067	0.500571
-0.211230	-0.077606	0.023296	0.000105	0.500330
0.025930	-0.166741	0.026624	0.000047	0.500331
0.225610	-0.340923	0.029952	-0.000001	0.500076
-0.078070	-0.286870	0.033280	0.000073	0.499920
-0.046280	-0.375179	0.036608	0.000065	0.499722
-0.031736	-0.490251	0.039936	0.000061	0.499439
0.208297	-0.667663	0.043264	0.000003	0.499214
0.261922	-0.822727	0.046592	-0.000010	0.498865
-0.025998	-0.844357	0.049920	0.000060	0.498527
-0.494255	-0.792104	0.053248	0.000173	0.498205
-0.278038	-0.976518	0.056576	0.000121	0.497938
0.088302	-1.241346	0.059904	0.000032	0.497609
-0.150998	-1.332862	0.063232	0.000090	0.497137
-0.286614	-1.429107	0.066560	0.000123	0.496754
-0.471728	-1.496000	0.069888	0.000168	0.496398
-0.129825	-1.778229	0.073216	0.000085	0.495998
0.102777	-2.054946	0.076544	0.000028	0.495505
-0.216964	-2.145416	0.079872	0.000106	0.494955
-0.534524	-2.199082	0.083200	0.000183	0.494502
-0.423815	-2.439315	0.086528	0.000156	0.493982
0.064586	-2.827818	0.089856	0.000038	0.493447
0.126338	-3.088677	0.093184	0.000023	0.492824
0.022578	-3.298362	0.096512	0.000048	0.492171
-0.647653	-3.290095	0.099840	0.000210	0.491529
-0.838811	-3.427412	0.103168	0.000256	0.490978
-0.464591	-3.781544	0.106496	0.000166	0.490416
-0.424131	-4.045228	0.109824	0.000156	0.489761
-0.619988	-4.228801	0.113152	0.000203	0.489081
-1.123379	-4.285897	0.116480	0.000325	0.488428
-1.090432	-4.520872	0.119808	0.000317	0.487838
-0.954361	-4.816874	0.123136	0.000284	0.487189
-0.630612	-5.216503	0.126464	0.000206	0.486452
-1.087727	-5.315267	0.129792	0.000317	0.485731
-1.414230	-5.446856	0.133120	0.000396	0.485053
-1.533181	-5.649914	0.136448	0.000425	0.484391
-1.015260	-6.109758	0.139776	0.000299	0.483685
-0.965406	-6.429240	0.143104	0.000287	0.482880
-0.943093	-6.752931	0.146432	0.000282	0.482035
-1.685265	-6.759576	0.149760	0.000461	0.481266
-1.519818	-7.107240	0.153088	0.000421	0.480499
-1.201595	-7.524302	0.156416	0.000344	0.479699
-3.406226	-6.992930	0.159744	0.000878	0.478890
-9.891879	-4.565026	0.163072	0.002449	0.478844
-8.912621	-4.712177	0.166400	0.002212	0.479443
-8.291683	-4.807681	0.169728	0.002062	0.479817
-9.586325	-4.195174	0.173056	0.002375	0.480153
-10.182676	-3.771525	0.176384	0.002520	0.480689
-9.715946	-3.746724	0.179712	0.002406	0.481229
-7.542016	-4.420552	0.183040	0.001880	0.481621
-6.625412	-4.797147	0.186368	0.001657	0.481538
-7.197912	-4.651355	0.189696	0.001796	0.481350
-8.559062	-4.106289	0.193024	0.002126	0.481436
-7.326128	-4.484577	0.196352	0.001827	0.481669
-6.978238	-4.714154	0.199680	0.001743	0.481405
-6.847782	-4.802212	0.203008	0.001711	0.481300
-8.198099	-4.386695	0.206336	0.002038	0.481049
-8.691677	-4.153483	0.209664	0.002158	0.481176
-8.279135	-4.242081	0.212992	0.002058	0.481356
-7.938597	-4.444944	0.216320	0.001975	0.481156
-7.934379	-4.484508	0.219648	0.001974	0.481054
-7.752089	-4.591457	0.222976	0.001930	0.480952
-8.186025	-4.500788	0.226304	0.002035	0.480756
-9.373351	-4.054105	0.229632	0.002322	0.480754
-9.558673	-3.985822	0.232960	0.002367	0.480750
-9.527856	-3.998181	0.236288	0.002360	0.480748
-9.130432	-4.152617	0.239616	0.002263	0.480736
-8.992766	-4.200972	0.242944	0.002230	0.480746
-8.725734	-4.315498	0.246272	0.002165	0.480709
-9.343356	-4.184974	0.249600	0.002315	0.480433
-8.566517	-4.505251	0.252928	0.002127	0.480360
-8.894496	-4.466368	0.256256	0.002206	0.480132
-8.970928	-4.526249	0.259584	0.002224	0.479893
-10.506442	-3.966702	0.262912	0.002596	0.479841
-10.017937	-4.153686	0.266240	0.002478	0.479834
-8.945205	-4.644821	0.269568	0.002218	0.479600
-8.143818	-5.088073	0.272896	0.002024	0.479220
-9.754064	-4.606967	0.276224	0.002414	0.478880
-11.607486	-3.985431	0.279552	0.002863	0.478671
-11.805136	-3.833541	0.282880	0.002911	0.478881
-10.545075	-4.306447	0.286208	0.002605	0.478887
-9.994646	-4.578315	0.289536	0.002472	0.478713
-10.038759	-4.662702	0.292864	0.002483	0.478440
-11.936847	-4.013661	0.296192	0.002942	0.478260
-12.022232	-3.978519	0.299520	0.002963	0.478269
-10.895146	-4.401281	0.302848	0.002690	0.478275
-9.910264	-4.860373	0.306176	0.002451	0.478038
-10.657261	-4.722128	0.309504	0.002632	0.477650
-12.341535	-4.196349	0.312832	0.003040	0.477354
-12.571339	-4.026137	0.316160	0.003096	0.477581
-11.574262	-4.477600	0.319488	0.002854	0.477376
-11.154370	-4.688952	0.322816	0.002752	0.477233
-11.898762	-4.503685	0.326144	0.002933	0.476974
-13.126084	-4.135849	0.329472	0.003230	0.476717
-14.044228	-3.711100	0.332800	0.003452	0.476930
-13.314349	-3.949501	0.336128	0.003275	0.477030
-12.051870	-4.471271	0.339456	0.002970	0.476907
-11.848046	-4.639217	0.342784	0.002920	0.476660
-13.724330	-4.025962	0.346112	0.003375	0.476404
-13.899184	-3.962564	0.349440	0.003417	0.476398
-13.519178	-4.105637	0.352768	0.003325	0.476398
-12.297032	-4.611284	0.356096	0.003029	0.476277
-13.050388	-4.451655	0.359424	0.003211	0.475939
-13.094156	-4.491830	0.362752	0.003222	0.475785
-14.016624	-4.253261	0.366080	0.003445	0.475488
-12.937887	-4.684689	0.369408	0.003184	0.475421
-13.682775	-4.494877	0.372736	0.003364	0.475174
-12.828060	-4.911876	0.376064	0.003157	0.474916
-14.873278	-4.279569	0.379392	0.003653	0.474538
-15.696549	-3.970699	0.382720	0.003852	0.474534
-15.853507	-3.793264	0.386048	0.003890	0.474856
-13.332395	-4.800376	0.389376	0.003279	0.474703
-14.894768	-4.330130	0.392704	0.003658	0.474379
-15.231716	-4.255590	0.396032	0.003739	0.474236
-16.629714	-3.728062	0.399360	0.004078	0.474237
-16.072814	-3.940802	0.402688	0.003943	0.474230
-15.558240	-4.136700	0.406016	0.003818	0.474225
-14.005831	-4.758937	0.409344	0.003442	0.474125
-14.863312	-4.558643	0.412672	0.003650	0.473789
-15.453962	-4.428764	0.416000	0.003793	0.473536
-16.599251	-4.084671	0.419328	0.004070	0.473296
-15.049619	-4.672385	0.422656	0.003695	0.473287
-15.286444	-4.692361	0.425984	0.003752	0.472988
-15.734673	-4.629839	0.429312	0.003860	0.472697
-17.399192	-4.009744	0.432640	0.004264	0.472677
-17.052027	-4.143334	0.435968	0.004179	0.472670
-16.409312	-4.425469	0.439296	0.004024	0.472561
-16.884048	-4.312431	0.442624	0.004139	0.472381
-17.629047	-4.030854	0.445952	0.004319	0.472383
-17.928845	-3.919564	0.449280	0.004392	0.472378
-17.681507	-4.015971	0.452608	0.004332	0.472370
-17.302086	-4.257975	0.455936	0.004240	0.472099
-17.621359	-4.150814	0.459264	0.004317	0.472063
-17.317124	-4.345190	0.462592	0.004243	0.471845
-18.098863	-4.083421	0.465920	0.004433	0.471755
-17.668232	-4.276527	0.469248	0.004328	0.471671
-17.901033	-4.272260	0.472576	0.004385	0.471442
-17.503505	-4.485513	0.475904	0.004288	0.471268
-17.858176	-4.404187	0.479232	0.004374	0.471124
-17.214849	-4.780021	0.482560	0.004218	0.470758
-17.676564	-4.712844	0.485888	0.004330	0.470465
-18.611796	-4.451201	0.489216	0.004557	0.470214
-18.492439	-4.545356	0.492544	0.004528	0.470079
-18.915665	-4.452392	0.495872	0.004630	0.469896
-19.131998	-4.434450	0.499200	0.004682	0.469721
-20.837230	-3.818312	0.502528	0.005095	0.469647
-19.946077	-4.061360	0.505856	0.004879	0.469904
-19.821701	-4.108457	0.509184	0.004849	0.469903
-19.462770	-4.360898	0.512512	0.004762	0.469581
-19.889023	-4.199229	0.515840	0.004865	0.469584
-21.071436	-3.755395	0.519168	0.005152	0.469578
-21.654902	-3.536888	0.522496	0.005293	0.469575
-20.691672	-3.899986	0.525824	0.005060	0.469575
-18.855633	-4.625170	0.529152	0.004615	0.469485
-19.303714	-4.611625	0.532480	0.004723	0.469057
-20.465755	-4.269811	0.535808	0.005005	0.468791
-21.550379	-3.916187	0.539136	0.005268	0.468638
-19.301644	-4.786294	0.542464	0.004723	0.468578
-19.398208	-4.881974	0.545792	0.004746	0.468213
-20.396930	-4.652784	0.549120	0.004988	0.467805
-22.270176	-3.985777	0.552448	0.005442	0.467696
-21.722001	-4.189842	0.555776	0.005309	0.467704
-20.959064	-4.506561	0.559104	0.005124	0.467624
-20.683796	-4.740935	0.562432	0.005057	0.467263
-21.669701	-4.437327	0.565760	0.005296	0.467074
-23.334745	-3.810172	0.569088	0.005699	0.467072
-23.258172	-3.835590	0.572416	0.005681	0.467082
-22.851411	-3.993594	0.575744	0.005582	0.467070
-21.535192	-4.492271	0.579072	0.005263	0.467064
-23.146747	-3.991195	0.582400	0.005654	0.466768
-23.791863	-3.685791	0.585728	0.005810	0.466941
-23.087359	-3.903095	0.589056	0.005639	0.467075
-21.416455	-4.651918	0.592384	0.005234	0.466746
-21.509221	-4.764913	0.595712	0.005257	0.466336
-23.003994	-4.283115	0.599040	0.005619	0.466109
-24.328666	-3.868834	0.602368	0.005940	0.465872
-23.639736	-4.030501	0.605696	0.005773	0.466145
-22.161425	-4.716276	0.609024	0.005415	0.465789
-21.742520	-5.014970	0.612352	0.005313	0.465398
-22.838235	-4.748039	0.615680	0.005578	0.464991
-24.589531	-4.151991	0.619008	0.006003	0.464812
-24.875386	-4.009393	0.622336	0.006072	0.464909
-23.883401	-4.457708	0.625664	0.005832	0.464703
-24.208889	-4.375208	0.628992	0.005910	0.464591
-25.841207	-3.774765	0.632320	0.006306	0.464549
-27.198384	-3.188009	0.635648	0.006634	0.464758
-25.704540	-3.693659	0.638976	0.006272	0.464919
-23.804359	-4.420382	0.642304	0.005812	0.464891
-23.960384	-4.498398	0.645632	0.005850	0.464510
-24.294542	-4.463949	0.648960	0.005931	0.464255
-25.813858	-3.998868	0.652288	0.006299	0.463955
-26.297986	-3.816093	0.655616	0.006416	0.463955
-25.433166	-4.140505	0.658944	0.006206	0.463961
-23.748507	-4.833114	0.662272	0.005798	0.463801
-24.396954	-4.771821	0.665600	0.005955	0.463290
-25.195431	-4.575848	0.668928	0.006149	0.462996
-26.050452	-4.350431	0.672256	0.006356	0.462725
-25.255382	-4.697751	0.675584	0.006163	0.462592
-25.893594	-4.548982	0.678912	0.006318	0.462335
-26.130303	-4.545893	0.682240	0.006375	0.462094
-27.122017	-4.172678	0.685568	0.006615	0.462092
-27.820895	-3.909919	0.688896	0.006784	0.462090
-27.730901	-3.943114	0.692224	0.006763	0.462092
-27.462851	-4.042915	0.695552	0.006698	0.462096
