Fri Oct 25 01:24:12 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.085364	0.000000	0.000053	0.500040

0.182189	0.013255	0.003328	0.000009	0.500031
0.600727	-0.142753	0.006656	-0.000093	0.500035
0.254200	-0.117642	0.009984	-0.000009	0.499763
0.090943	-0.062881	0.013312	0.000031	0.499745
0.015037	-0.033538	0.016640	0.000049	0.499748
0.052678	-0.124451	0.019968	0.000040	0.499549
0.353747	-0.284714	0.023296	-0.000033	0.499428
0.286463	-0.352059	0.026624	-0.000017	0.499188
-0.021568	-0.295765	0.029952	0.000058	0.499033
0.180073	-0.461613	0.033280	0.000009	0.498800
-0.133081	-0.439706	0.036608	0.000085	0.498551
0.267201	-0.672909	0.039936	-0.000012	0.498338
0.014901	-0.687796	0.043264	0.000049	0.498052
-0.122798	-0.742027	0.046592	0.000082	0.497777
-0.131331	-0.851719	0.049920	0.000084	0.497484
-0.030553	-1.019103	0.053248	0.000060	0.497147
-0.111118	-1.124807	0.056576	0.000079	0.496793
0.104489	-1.343153	0.059904	0.000027	0.496436
-0.229539	-1.372025	0.063232	0.000108	0.496033
-0.338917	-1.489785	0.066560	0.000135	0.495618
-0.392277	-1.598758	0.069888	0.000147	0.495282
-0.183280	-1.832701	0.073216	0.000097	0.494876
0.294849	-2.227930	0.076544	-0.000019	0.494314
-0.016326	-2.319350	0.079872	0.000056	0.493768
-0.332934	-2.392599	0.083200	0.000133	0.493263
-0.585039	-2.489330	0.086528	0.000194	0.492760
-0.637619	-2.648035	0.089856	0.000207	0.492292
-0.101841	-3.060743	0.093184	0.000077	0.491738
-0.165085	-3.276001	0.096512	0.000092	0.491109
-0.657067	-3.315950	0.099840	0.000212	0.490515
-0.874289	-3.442445	0.103168	0.000264	0.489965
-0.469172	-3.818669	0.106496	0.000166	0.489375
-0.160386	-4.195431	0.109824	0.000091	0.488686
-0.417455	-4.372648	0.113152	0.000154	0.487960
-0.873288	-4.449057	0.116480	0.000264	0.487302
-1.172453	-4.570354	0.119808	0.000337	0.486681
-1.040440	-4.854622	0.123136	0.000305	0.486057
-0.788656	-5.210154	0.126464	0.000244	0.485363
-0.911768	-5.442473	0.129792	0.000274	0.484620
-1.512261	-5.482820	0.133120	0.000419	0.483908
-1.538965	-5.719769	0.136448	0.000426	0.483247
-1.533843	-5.968596	0.139776	0.000424	0.482586
-2.060860	-6.026660	0.143104	0.000552	0.481897
-12.800967	-1.988663	0.146432	0.003154	0.481869
-6.332137	-4.003787	0.149760	0.001587	0.483004
-7.219835	-3.692836	0.153088	0.001802	0.482941
-5.779520	-4.195881	0.156416	0.001453	0.483048
-8.419784	-3.180433	0.159744	0.002092	0.483102
-7.014581	-3.556364	0.163072	0.001752	0.483514
-6.141284	-3.867778	0.166400	0.001540	0.483562
-6.433988	-3.761110	0.169728	0.001611	0.483552
-5.941437	-4.033414	0.173056	0.001492	0.483321
-7.939023	-3.310354	0.176384	0.001976	0.483241
-6.818693	-3.615531	0.179712	0.001704	0.483554
-8.218888	-3.158809	0.183040	0.002043	0.483364
-5.698640	-4.045183	0.186368	0.001433	0.483535
-8.181038	-3.217298	0.189696	0.002034	0.483246
-7.484589	-3.372944	0.193024	0.001865	0.483532
-8.776946	-2.943614	0.196352	0.002178	0.483378
-6.446696	-3.754449	0.199680	0.001614	0.483559
-7.753225	-3.372818	0.203008	0.001930	0.483262
-6.595509	-3.816276	0.206336	0.001650	0.483244
-8.768219	-3.097510	0.209664	0.002176	0.482975
-6.168499	-4.045002	0.212992	0.001546	0.483062
