Fri Oct 25 02:56:24 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.227798	0.000000	0.000081	0.499058

0.389746	0.102749	0.003328	-0.000014	0.499114
0.180100	0.076544	0.006656	0.000037	0.498842
0.119903	0.085031	0.009984	0.000052	0.498805
-0.255217	0.223402	0.013312	0.000142	0.498797
-0.035450	0.139687	0.016640	0.000089	0.498795
-0.181063	0.193517	0.019968	0.000124	0.498793
0.101299	0.079405	0.023296	0.000056	0.498773
-0.314274	0.127575	0.026624	0.000157	0.498492
-0.403870	0.161046	0.029952	0.000178	0.498491
-0.385819	0.151357	0.033280	0.000174	0.498484
-0.187718	-0.039129	0.036608	0.000126	0.498183
-0.097098	-0.124105	0.039936	0.000104	0.498051
0.038367	-0.265472	0.043264	0.000071	0.497817
-0.035276	-0.338887	0.046592	0.000089	0.497554
-0.000841	-0.459108	0.049920	0.000081	0.497275
-0.156409	-0.526232	0.053248	0.000118	0.496948
0.003598	-0.705582	0.056576	0.000079	0.496639
0.066273	-0.879763	0.059904	0.000064	0.496246
-0.052825	-0.979289	0.063232	0.000093	0.495870
-0.137881	-1.089262	0.066560	0.000114	0.495500
-0.398753	-1.136200	0.069888	0.000177	0.495120
-0.266502	-1.352051	0.073216	0.000145	0.494687
-0.173898	-1.544476	0.076544	0.000122	0.494275
-0.175479	-1.730493	0.079872	0.000123	0.493786
-0.482139	-1.789059	0.083200	0.000197	0.493330
-0.448936	-1.982762	0.086528	0.000189	0.492855
-0.336997	-2.216830	0.089856	0.000162	0.492351
-0.229889	-2.466734	0.093184	0.000136	0.491801
-0.316575	-2.652775	0.096512	0.000157	0.491225
-0.440056	-2.825993	0.099840	0.000187	0.490646
-0.543152	-3.012448	0.103168	0.000212	0.490052
-0.376220	-3.295859	0.106496	0.000172	0.489470
-0.262592	-3.587873	0.109824	0.000144	0.488811
-0.270907	-3.843393	0.113152	0.000146	0.488126
-0.675410	-3.959936	0.116480	0.000244	0.487413
-0.621069	-4.230876	0.119808	0.000231	0.486748
-0.544035	-4.522499	0.123136	0.000212	0.486050
-0.473792	-4.825532	0.126464	0.000195	0.485313
-0.554789	-5.089934	0.129792	0.000215	0.484527
-0.862085	-5.249720	0.133120	0.000289	0.483791
-0.967221	-5.496400	0.136448	0.000315	0.483025
-0.684668	-5.877461	0.139776	0.000247	0.482289
-0.948795	-6.100918	0.143104	0.000311	0.481422
-1.116992	-6.317556	0.146432	0.000351	0.480669
-1.251958	-6.560900	0.149760	0.000384	0.479877
-1.034529	-6.940971	0.153088	0.000331	0.479073
-1.269552	-7.168059	0.156416	0.000388	0.478220
-1.034416	-7.580493	0.159744	0.000331	0.477343
-1.037133	-7.909296	0.163072	0.000332	0.476449
-1.136329	-8.215612	0.166400	0.000356	0.475515
-1.391112	-8.456611	0.169728	0.000418	0.474597
-1.076666	-8.912064	0.173056	0.000342	0.473678
-1.382132	-9.158488	0.176384	0.000416	0.472690
-1.184154	-9.591831	0.179712	0.000368	0.471707
-1.414573	-9.863664	0.183040	0.000424	0.470723
