Fri Oct 25 03:48:18 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.129896	0.000000	0.000085	0.498784

0.270822	0.032549	0.003328	0.000019	0.498796
0.462826	-0.079587	0.006656	-0.000027	0.498693
0.627844	-0.217343	0.009984	-0.000067	0.498498
0.378015	-0.127993	0.013312	-0.000007	0.498485
0.152538	-0.115394	0.016640	0.000048	0.498298
0.691671	-0.366877	0.019968	-0.000083	0.498172
0.284718	-0.287174	0.023296	0.000016	0.497981
0.445862	-0.402561	0.026624	-0.000023	0.497839
0.446121	-0.516657	0.029952	-0.000023	0.497543
0.327962	-0.562272	0.033280	0.000005	0.497309
0.342689	-0.651828	0.036608	0.000002	0.497090
0.378855	-0.779236	0.039936	-0.000007	0.496794
0.409157	-0.912229	0.043264	-0.000015	0.496478
0.124541	-0.930316	0.046592	0.000054	0.496151
-0.328984	-0.850149	0.049920	0.000164	0.495915
-0.189901	-1.010064	0.053248	0.000131	0.495635
0.134225	-1.264481	0.056576	0.000052	0.495289
0.175622	-1.420912	0.059904	0.000042	0.494922
0.231904	-1.595043	0.063232	0.000028	0.494522
-0.102421	-1.657194	0.066560	0.000109	0.494030
-0.147554	-1.777310	0.069888	0.000120	0.493671
0.147527	-2.046405	0.073216	0.000049	0.493257
0.345700	-2.321788	0.076544	0.000001	0.492731
0.160938	-2.472755	0.079872	0.000046	0.492151
-0.155687	-2.553669	0.083200	0.000122	0.491625
-0.298201	-2.675305	0.086528	0.000157	0.491163
0.413029	-3.168018	0.089856	-0.000015	0.490571
0.174416	-3.322537	0.093184	0.000042	0.489927
-0.093049	-3.464669	0.096512	0.000107	0.489285
-0.362276	-3.596526	0.099840	0.000172	0.488668
-0.409337	-3.805854	0.103168	0.000184	0.488067
-0.189751	-4.133969	0.106496	0.000131	0.487416
-0.223298	-4.375371	0.109824	0.000139	0.486741
-0.566457	-4.499487	0.113152	0.000222	0.486068
-0.753503	-4.670199	0.116480	0.000267	0.485425
-0.700517	-4.931927	0.119808	0.000255	0.484781
-0.389043	-5.308408	0.123136	0.000179	0.484089
-0.461724	-5.573978	0.126464	0.000197	0.483306
-0.696631	-5.760393	0.129792	0.000254	0.482570
-0.957831	-5.939686	0.133120	0.000317	0.481825
-0.593228	-6.354825	0.136448	0.000229	0.481079
-0.342279	-6.758049	0.139776	0.000168	0.480248
-0.525551	-7.013898	0.143104	0.000212	0.479372
-0.716270	-7.258235	0.146432	0.000259	0.478518
-1.209316	-7.382786	0.149760	0.000378	0.477679
-1.581686	-7.533082	0.153088	0.000468	0.476891
-3.025441	-7.267176	0.156416	0.000818	0.476135
-11.121642	-4.195444	0.159744	0.002779	0.476187
-7.220257	-5.397557	0.163072	0.001834	0.476917
-7.275797	-5.329907	0.166400	0.001848	0.477044
-7.434887	-5.241200	0.169728	0.001886	0.477122
-7.918337	-4.972577	0.173056	0.002003	0.477357
-8.094671	-4.814646	0.176384	0.002046	0.477604
-6.800773	-5.277985	0.179712	0.001732	0.477671
-8.347987	-4.676766	0.183040	0.002107	0.477720
-6.409472	-5.324627	0.186368	0.001637	0.477944
-8.355376	-4.621755	0.189696	0.002109	0.477861
-6.954478	-5.106666	0.193024	0.001769	0.477979
-8.619319	-4.482210	0.196352	0.002173	0.477970
-7.318428	-4.973292	0.199680	0.001857	0.477968
-8.100789	-4.678577	0.203008	0.002047	0.477968
-7.120689	-5.047566	0.206336	0.001810	0.477970
-8.600480	-4.487370	0.209664	0.002168	0.477976
-7.516095	-4.893909	0.212992	0.001905	0.477982
-8.132895	-4.672986	0.216320	0.002055	0.477951
-7.732293	-4.929117	0.219648	0.001958	0.477666
-7.750595	-4.924515	0.222976	0.001962	0.477660
-6.967177	-5.323270	0.226304	0.001772	0.477380
-8.382068	-4.910930	0.229632	0.002115	0.477052
-7.664300	-5.209659	0.232960	0.001941	0.476976
-9.066366	-4.776422	0.236288	0.002281	0.476717
-8.026770	-5.167360	0.239616	0.002029	0.476720
-9.480502	-4.618544	0.242944	0.002381	0.476722
-8.098598	-5.221202	0.246272	0.002046	0.476501
-10.212616	-4.453858	0.249600	0.002558	0.476420
-8.721191	-5.052321	0.252928	0.002197	0.476322
-10.225851	-4.497486	0.256256	0.002561	0.476289
-7.859494	-5.467539	0.259584	0.001988	0.476077
-9.928053	-4.795361	0.262912	0.002489	0.475785
-9.656124	-4.891515	0.266240	0.002423	0.475802
-11.408718	-4.229623	0.269568	0.002848	0.475805
-8.029945	-5.558176	0.272896	0.002029	0.475657
-9.534357	-5.127158	0.276224	0.002394	0.475286
-8.861971	-5.490993	0.279552	0.002231	0.474986
-11.707833	-4.453466	0.282880	0.002920	0.474889
-10.541090	-4.893943	0.286208	0.002638	0.474888
-10.088906	-5.086982	0.289536	0.002528	0.474827
-8.826367	-5.730154	0.292864	0.002222	0.474371
-10.538302	-5.221677	0.296192	0.002637	0.473998
-12.471156	-4.515077	0.299520	0.003105	0.473937
-12.506765	-4.415062	0.302848	0.003114	0.474174
-11.394418	-4.859444	0.306176	0.002844	0.474106
-10.031759	-5.453852	0.309504	0.002514	0.473886
-12.105823	-4.762989	0.312832	0.003016	0.473637
-13.239392	-4.332166	0.316160	0.003291	0.473646
-13.100424	-4.275036	0.319488	0.003257	0.473946
-9.502244	-5.690394	0.322816	0.002386	0.473786
-11.179225	-5.264747	0.326144	0.002792	0.473221
-11.757224	-5.125231	0.329472	0.002932	0.473007
-14.403390	-4.127475	0.332800	0.003573	0.473007
-12.543740	-4.825293	0.336128	0.003122	0.473016
-11.698078	-5.183021	0.339456	0.002917	0.472910
-10.017729	-5.962040	0.342784	0.002510	0.472512
-13.260678	-4.893213	0.346112	0.003296	0.472090
-13.174053	-4.928215	0.349440	0.003275	0.472084
-14.645428	-4.372283	0.352768	0.003631	0.472087
-10.699117	-5.926891	0.356096	0.002675	0.471905
-12.986194	-5.224204	0.359424	0.003229	0.471467
-12.317027	-5.589674	0.362752	0.003067	0.471157
-16.861328	-3.881302	0.366080	0.004168	0.471142
