Fri Oct 25 00:39:27 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.207998	0.000000	-0.000133	0.499412

-0.075159	-0.257991	0.003328	-0.000115	0.499209
-0.126496	-0.281389	0.006656	-0.000102	0.499098
0.111122	-0.430676	0.009984	-0.000160	0.498944
-0.059046	-0.425981	0.013312	-0.000119	0.498790
0.031176	-0.566216	0.016640	-0.000141	0.498514
-0.018316	-0.621691	0.019968	-0.000129	0.498322
-0.300053	-0.609902	0.023296	-0.000060	0.498077
-0.247633	-0.717864	0.026624	-0.000073	0.497848
-0.331504	-0.803700	0.029952	-0.000053	0.497543
-0.466341	-0.831284	0.033280	-0.000020	0.497340
-0.401746	-0.960979	0.036608	-0.000036	0.497066
-0.568290	-1.023806	0.039936	0.000004	0.496739
-0.719035	-1.080182	0.043264	0.000041	0.496444
-0.722400	-1.195638	0.046592	0.000042	0.496140
-0.736966	-1.312819	0.049920	0.000045	0.495820
-1.020038	-1.328214	0.053248	0.000114	0.495502
-0.893858	-1.495567	0.056576	0.000083	0.495189
-0.913511	-1.614749	0.059904	0.000088	0.494859
-1.073062	-1.689823	0.063232	0.000127	0.494505
-1.108353	-1.840678	0.066560	0.000135	0.494076
-1.182681	-1.953554	0.069888	0.000153	0.493707
-1.187845	-2.096865	0.073216	0.000154	0.493327
-1.337449	-2.196936	0.076544	0.000191	0.492916
-1.453471	-2.321050	0.079872	0.000219	0.492476
-1.705790	-2.387732	0.083200	0.000280	0.492051
-1.572423	-2.582593	0.086528	0.000248	0.491671
-1.529082	-2.787311	0.089856	0.000237	0.491175
-1.803687	-2.843214	0.093184	0.000304	0.490755
-1.694096	-3.073071	0.096512	0.000277	0.490258
-2.057745	-3.106336	0.099840	0.000365	0.489809
-2.050250	-3.297083	0.103168	0.000363	0.489312
-2.208911	-3.406896	0.106496	0.000402	0.488864
-2.320803	-3.547785	0.109824	0.000429	0.488380
-2.450816	-3.677655	0.113152	0.000460	0.487906
-2.774799	-3.737357	0.116480	0.000539	0.487424
-3.098067	-3.762359	0.119808	0.000617	0.487034
-3.018783	-3.972142	0.123136	0.000598	0.486556
-2.995290	-4.132369	0.126464	0.000592	0.486154
-3.260245	-4.223971	0.129792	0.000656	0.485644
-3.325533	-4.355842	0.133120	0.000672	0.485227
-3.362854	-4.534759	0.136448	0.000681	0.484713
-3.889185	-4.490639	0.139776	0.000809	0.484301
-3.992563	-4.608966	0.143104	0.000834	0.483881
-5.622268	-4.113606	0.146432	0.001229	0.483563
-6.353331	-3.839767	0.149760	0.001406	0.483558
-6.759414	-3.684263	0.153088	0.001504	0.483565
-6.898392	-3.713596	0.156416	0.001538	0.483346
-7.102785	-3.561729	0.159744	0.001587	0.483547
-5.922814	-4.092843	0.163072	0.001301	0.483316
-7.397978	-3.561961	0.166400	0.001659	0.483249
-7.215473	-3.630887	0.169728	0.001614	0.483248
-8.676845	-3.058760	0.173056	0.001968	0.483305
-6.426548	-3.912709	0.176384	0.001423	0.483290
-8.186201	-3.267875	0.179712	0.001849	0.483241
-7.203331	-3.637193	0.183040	0.001611	0.483244
-9.457070	-2.786038	0.186368	0.002157	0.483249
-8.865268	-2.952273	0.189696	0.002014	0.483401
-7.089088	-3.586762	0.193024	0.001583	0.483495
-6.305197	-4.046117	0.196352	0.001394	0.483057
-6.182111	-4.210882	0.199680	0.001364	0.482740
-8.259384	-3.580310	0.203008	0.001867	0.482331
-7.514926	-3.866842	0.206336	0.001687	0.482315
-7.673264	-3.921616	0.209664	0.001725	0.482008
-6.081634	-4.646580	0.212992	0.001339	0.481673
-8.555877	-3.890302	0.216320	0.001939	0.481199
-8.846450	-3.828269	0.219648	0.002009	0.481071
-9.687041	-3.510131	0.222976	0.002213	0.481075
-8.428878	-3.985114	0.226304	0.001908	0.481073
-8.995138	-3.881247	0.229632	0.002045	0.480779
-8.869709	-3.948199	0.232960	0.002015	0.480726
-11.401795	-3.040520	0.236288	0.002628	0.480600
-10.520118	-3.316139	0.239616	0.002414	0.480753
-11.282193	-2.966271	0.242944	0.002599	0.480921
-8.936112	-3.851377	0.246272	0.002031	0.480920
-11.443771	-2.968380	0.249600	0.002638	0.480752
-9.104093	-3.848906	0.252928	0.002071	0.480756
-10.530417	-3.420017	0.256256	0.002417	0.480463
-8.874816	-4.094674	0.259584	0.002016	0.480328
-11.675001	-3.108697	0.262912	0.002694	0.480140
-10.677770	-3.483808	0.266240	0.002452	0.480142
-11.121807	-3.314412	0.269568	0.002560	0.480148
-8.027259	-4.584162	0.272896	0.001810	0.479870
-10.723132	-3.716437	0.276224	0.002463	0.479470
-9.603867	-4.274895	0.279552	0.002192	0.479101
-12.393031	-3.296429	0.282880	0.002868	0.478904
-9.946254	-4.254386	0.286208	0.002275	0.478808
-10.493836	-4.155909	0.289536	0.002408	0.478517
-10.715990	-4.211882	0.292864	0.002461	0.478139
-13.369476	-3.238409	0.296192	0.003104	0.478066
-13.939302	-2.940163	0.299520	0.003242	0.478292
-13.371897	-3.066748	0.302848	0.003105	0.478528
-10.910030	-4.051815	0.306176	0.002508	0.478375
-12.515940	-3.502263	0.309504	0.002897	0.478224
-13.759899	-3.126255	0.312832	0.003199	0.477972
-13.068840	-3.275552	0.316160	0.003031	0.478273
-12.641522	-3.537689	0.319488	0.002928	0.478000
-10.315227	-4.472321	0.322816	0.002364	0.477844
-12.037271	-4.055642	0.326144	0.002781	0.477214
-11.852401	-4.203579	0.329472	0.002736	0.477002
-14.924855	-3.136564	0.332800	0.003481	0.476754
-13.075780	-3.740441	0.336128	0.003033	0.477008
-12.545991	-4.092827	0.339456	0.002904	0.476594
-12.418066	-4.226322	0.342784	0.002873	0.476362
-14.101954	-3.685763	0.346112	0.003281	0.476106
-14.830281	-3.411821	0.349440	0.003458	0.476105
-15.233595	-3.256060	0.352768	0.003555	0.476115
-14.030811	-3.709092	0.356096	0.003264	0.476116
-14.544045	-3.518041	0.359424	0.003388	0.476110
-14.777296	-3.529186	0.362752	0.003445	0.475840
-16.625803	-2.771384	0.366080	0.003892	0.476006
-14.740402	-3.441473	0.369408	0.003436	0.476117
-14.973449	-3.354217	0.372736	0.003492	0.476116
-12.851991	-4.323576	0.376064	0.002978	0.475655
-16.390455	-3.046683	0.379392	0.003835	0.475499
-15.071161	-3.543923	0.382720	0.003516	0.475500
-16.622376	-2.959546	0.386048	0.003891	0.475499
-13.489284	-4.216924	0.389376	0.003132	0.475292
-14.917218	-3.827092	0.392704	0.003478	0.474887
-13.509270	-4.498300	0.396032	0.003137	0.474505
-14.644679	-4.222273	0.399360	0.003412	0.474090
-15.313715	-4.113363	0.402688	0.003574	0.473699
-15.829565	-3.951942	0.406016	0.003699	0.473609
-16.720746	-3.720255	0.409344	0.003915	0.473324
-16.890077	-3.659934	0.412672	0.003956	0.473314
-17.245288	-3.556469	0.416000	0.004042	0.473231
-18.476103	-3.017461	0.419328	0.004340	0.473436
-16.846695	-3.664362	0.422656	0.003945	0.473347
-17.782709	-3.320915	0.425984	0.004172	0.473322
-17.248734	-3.522903	0.429312	0.004043	0.473320
-17.399342	-3.466508	0.432640	0.004079	0.473319
-18.280888	-3.228837	0.435968	0.004293	0.473060
-17.820805	-3.322295	0.439296	0.004181	0.473279
-18.108894	-3.311020	0.442624	0.004251	0.473013
-16.556951	-3.913462	0.445952	0.003875	0.472966
-16.660710	-4.015046	0.449280	0.003900	0.472581
-17.372351	-3.857654	0.452608	0.004073	0.472277
-18.707311	-3.425050	0.455936	0.004396	0.472083
-18.296047	-3.582238	0.459264	0.004296	0.472078
-17.748207	-3.864606	0.462592	0.004164	0.471870
-17.106188	-4.200307	0.465920	0.004008	0.471614
-19.018219	-3.615921	0.469248	0.004471	0.471239
-20.032178	-3.189858	0.472576	0.004717	0.471359
-18.024471	-3.971901	0.475904	0.004230	0.471291
-18.509249	-3.892735	0.479232	0.004348	0.471006
-18.567785	-3.970419	0.482560	0.004362	0.470732
-20.441441	-3.336079	0.485888	0.004816	0.470534
-21.263760	-2.942174	0.489216	0.005015	0.470764
-18.802944	-3.879707	0.492544	0.004419	0.470738
-19.604332	-3.651077	0.495872	0.004613	0.470536
-18.708591	-4.074231	0.499200	0.004396	0.470301
-22.418919	-2.704890	0.502528	0.005295	0.470219
-21.388662	-2.997581	0.505856	0.005045	0.470483
-20.183919	-3.434172	0.509184	0.004753	0.470532
-17.930670	-4.450705	0.512512	0.004207	0.470073
-19.441014	-4.047103	0.515840	0.004573	0.469616
-20.550751	-3.747335	0.519168	0.004842	0.469289
-22.992378	-2.790372	0.522496	0.005433	0.469389
-19.457707	-4.124355	0.525824	0.004577	0.469386
-20.761139	-3.779756	0.529152	0.004893	0.468981
-20.082811	-4.111669	0.532480	0.004729	0.468771
-23.635976	-2.806283	0.535808	0.005589	0.468676
-22.175232	-3.251011	0.539136	0.005235	0.468969
-20.717144	-3.882052	0.542464	0.004882	0.468745
-20.360618	-4.135767	0.545792	0.004796	0.468416
-21.676321	-3.772806	0.549120	0.005114	0.468048
-22.481687	-3.471922	0.552448	0.005310	0.468040
-23.284300	-3.169137	0.555776	0.005504	0.468041
-22.409814	-3.499577	0.559104	0.005292	0.468039
-21.649113	-3.853273	0.562432	0.005108	0.467854
-21.735966	-3.939484	0.565760	0.005129	0.467525
-22.040283	-3.913895	0.569088	0.005202	0.467279
-23.862198	-3.296059	0.572416	0.005644	0.467087
-22.836523	-3.682784	0.575744	0.005395	0.467087
-23.215903	-3.593139	0.579072	0.005487	0.466939
-23.390905	-3.586449	0.582400	0.005530	0.466775
-24.090623	-3.319803	0.585728	0.005699	0.466783
-23.825705	-3.420243	0.589056	0.005635	0.466782
-23.259891	-3.643740	0.592384	0.005498	0.466754
-22.037337	-4.258330	0.595712	0.005201	0.466328
-23.195685	-3.919646	0.599040	0.005482	0.466056
-22.697026	-4.244918	0.602368	0.005361	0.465675
-26.221494	-2.951263	0.605696	0.006215	0.465576
-24.503813	-3.565190	0.609024	0.005799	0.465670
-26.383821	-2.837514	0.612352	0.006254	0.465722
-23.074705	-4.084375	0.615680	0.005453	0.465726
-25.512020	-3.231568	0.619008	0.006043	0.465541
-23.840344	-3.923155	0.622336	0.005638	0.465371
-26.710516	-2.890738	0.625664	0.006333	0.465232
-24.110181	-3.883108	0.628992	0.005703	0.465200
-25.356459	-3.512214	0.632320	0.006005	0.464924
-23.578499	-4.239308	0.635648	0.005575	0.464767
-25.393377	-3.673571	0.638976	0.006014	0.464436
-25.645358	-3.627859	0.642304	0.006075	0.464299
-25.669445	-3.630109	0.645632	0.006081	0.464267
-25.671396	-3.736402	0.648960	0.006081	0.463969
-25.144020	-3.964928	0.652288	0.005954	0.463887
-27.182267	-3.312099	0.655616	0.006447	0.463563
-27.116196	-3.294130	0.658944	0.006431	0.463683
-27.405319	-3.186708	0.662272	0.006501	0.463679
-26.372891	-3.576250	0.665600	0.006251	0.463679
-24.592138	-4.382984	0.668928	0.005820	0.463301
-26.272567	-3.843445	0.672256	0.006227	0.463038
-26.873331	-3.724995	0.675584	0.006372	0.462736
-28.583484	-3.076908	0.678912	0.006787	0.462745
-27.783150	-3.379578	0.682240	0.006593	0.462743
-26.187139	-4.002495	0.685568	0.006206	0.462684
-26.903856	-3.862621	0.688896	0.006380	0.462319
-28.541493	-3.316070	0.692224	0.006776	0.462120
-29.064012	-3.069784	0.695552	0.006903	0.462258
-26.767474	-3.941087	0.698880	0.006347	0.462244
-27.268912	-3.869763	0.702208	0.006468	0.461914
-27.330426	-3.955146	0.705536	0.006483	0.461610
-29.358721	-3.234288	0.708864	0.006974	0.461486
-28.671243	-3.494953	0.712192	0.006808	0.461482
-28.894650	-3.409554	0.715520	0.006862	0.461486
-26.773523	-4.317875	0.718848	0.006348	0.461182
-29.112129	-3.545754	0.722176	0.006914	0.460874
-30.036513	-3.196120	0.725504	0.007138	0.460876
-30.186790	-3.138913	0.728832	0.007175	0.460878
-28.729039	-3.693317	0.732160	0.006821	0.460865
-28.902279	-3.723452	0.735488	0.006863	0.460597
-29.796928	-3.398824	0.738816	0.007080	0.460561
-30.467435	-3.143710	0.742144	0.007242	0.460568
-28.263048	-4.072190	0.745472	0.006708	0.460295
-28.551685	-4.080156	0.748800	0.006778	0.459967
-28.276878	-4.360412	0.752128	0.006712	0.459470
-31.351875	-3.247599	0.755456	0.007457	0.459337
-30.759739	-3.468497	0.758784	0.007313	0.459344
-30.576200	-3.537597	0.762112	0.007269	0.459345
-28.449969	-4.479564	0.765440	0.006754	0.458950
-31.093220	-3.563371	0.768768	0.007394	0.458722
-31.494170	-3.481661	0.772096	0.007491	0.458526
-32.905420	-2.885112	0.775424	0.007833	0.458708
-29.758049	-4.103172	0.778752	0.007070	0.458621
-30.890778	-3.756444	0.782080	0.007345	0.458393
-31.551550	-3.599121	0.785408	0.007505	0.458134
-33.781936	-2.709279	0.788736	0.008045	0.458271
-32.730809	-3.057267	0.792064	0.007790	0.458408
-31.038572	-3.696120	0.795392	0.007380	0.458407
-30.153573	-4.145301	0.798720	0.007166	0.458081
-30.897461	-4.016526	0.802048	0.007346	0.457652
-33.354727	-3.153812	0.805376	0.007941	0.457471
-32.995426	-3.288588	0.808704	0.007854	0.457473
-32.230348	-3.573205	0.812032	0.007669	0.457484
-30.158552	-4.449612	0.815360	0.007167	0.457216
-32.001822	-3.949425	0.818688	0.007614	0.456663
-32.567641	-3.779537	0.822016	0.007751	0.456540
-33.841984	-3.325079	0.825344	0.008059	0.456466
-31.644047	-4.198404	0.828672	0.007527	0.456340
-32.510988	-4.016348	0.832000	0.007737	0.455929
-31.738041	-4.406427	0.835328	0.007550	0.455650
-35.191171	-3.210229	0.838656	0.008386	0.455347
-34.443596	-3.398420	0.841984	0.008205	0.455614
-36.429482	-2.617451	0.845312	0.008686	0.455704
-32.912189	-3.899038	0.848640	0.007834	0.455833
-34.496648	-3.379677	0.851968	0.008218	0.455611
-33.896121	-3.644959	0.855296	0.008072	0.455501
-36.692259	-2.616217	0.858624	0.008750	0.455427
-34.116063	-3.527564	0.861952	0.008125	0.455599
-34.528359	-3.463022	0.865280	0.008225	0.455341
-31.896658	-4.545596	0.868608	0.007588	0.455085
-34.163654	-3.862388	0.871936	0.008137	0.454596
-34.348963	-3.874123	0.875264	0.008182	0.454363
-36.191622	-3.179905	0.878592	0.008628	0.454361
-33.366701	-4.334496	0.881920	0.007944	0.454108
-34.737304	-3.943830	0.885248	0.008276	0.453747
-33.694169	-4.484031	0.888576	0.008023	0.453329
-37.883283	-2.937193	0.891904	0.009038	0.453233
-35.764712	-3.695328	0.895232	0.008525	0.453351
-36.627109	-3.369899	0.898560	0.008733	0.453351
-32.937050	-4.896345	0.901888	0.007839	0.452968
-36.925269	-3.555912	0.905216	0.008806	0.452498
-36.721974	-3.629435	0.908544	0.008756	0.452507
-38.980283	-2.715108	0.911872	0.009303	0.452686
-36.417147	-3.643304	0.915200	0.008682	0.452797
-36.578808	-3.654944	0.918528	0.008722	0.452589
-36.644812	-3.665094	0.921856	0.008738	0.452489
-37.829564	-3.216947	0.925184	0.009024	0.452493
-38.706739	-2.881176	0.928512	0.009237	0.452507
-36.763499	-3.619199	0.931840	0.008766	0.452493
-36.141001	-3.958603	0.935168	0.008615	0.452194
-35.792361	-4.227116	0.938496	0.008531	0.451802
-37.393358	-3.739681	0.941824	0.008919	0.451468
-37.421291	-3.805404	0.945152	0.008925	0.451249
-36.871089	-4.073617	0.948480	0.008792	0.451075
-36.762625	-4.217403	0.951808	0.008766	0.450780
-37.684852	-4.001391	0.955136	0.008989	0.450401
-38.721228	-3.637875	0.958464	0.009240	0.450322
-39.704550	-3.263945	0.961792	0.009478	0.450331
-39.340764	-3.400341	0.965120	0.009390	0.450333
-38.745442	-3.628589	0.968448	0.009246	0.450323
-38.491931	-3.756691	0.971776	0.009185	0.450230
-39.706258	-3.363845	0.975104	0.009479	0.450042
-39.157656	-3.572334	0.978432	0.009346	0.450038
-39.625543	-3.398729	0.981760	0.009459	0.450030
-38.601053	-3.875483	0.985088	0.009211	0.449770
-39.933472	-3.463981	0.988416	0.009534	0.449508
-39.062775	-3.826840	0.991744	0.009323	0.449409
-39.990651	-3.549757	0.995072	0.009547	0.449199
-39.127215	-3.921212	0.998400	0.009338	0.449067
-39.484937	-3.864404	1.001728	0.009425	0.448842
-39.191876	-4.051014	1.005056	0.009354	0.448623
-40.601301	-3.577011	1.008384	0.009695	0.448456
-40.419783	-3.679767	1.011712	0.009651	0.448357
-40.244743	-3.816753	1.015040	0.009609	0.448152
-39.276485	-4.266135	1.018368	0.009374	0.447910
-41.149861	-3.691642	1.021696	0.009828	0.447527
-41.134361	-3.696591	1.025024	0.009824	0.447530
-41.851544	-3.423766	1.028352	0.009998	0.447536
-40.519857	-3.990126	1.031680	0.009675	0.447351
-41.692718	-3.599551	1.035008	0.009959	0.447201
-41.322552	-3.793507	1.038336	0.009870	0.447044
-43.146002	-3.115730	1.041664	0.010311	0.447014
-42.082670	-3.515390	1.044992	0.010054	0.447019
-42.676030	-3.252073	1.048320	0.010198	0.447134
-40.632406	-4.118815	1.051648	0.009702	0.446857
-42.367697	-3.555400	1.054976	0.010123	0.446592
-42.026099	-3.721710	1.058304	0.010040	0.446484
-43.356999	-3.258380	1.061632	0.010362	0.446371
-40.595982	-4.353027	1.064960	0.009694	0.446218
-41.969671	-3.975024	1.068288	0.010026	0.445811
-41.827540	-4.118646	1.071616	0.009992	0.445549
-42.891475	-3.787865	1.074944	0.010250	0.445344
-43.385721	-3.612241	1.078272	0.010369	0.445313
-43.297576	-3.737534	1.081600	0.010348	0.445045
-43.523152	-3.651543	1.084928	0.010402	0.445048
-43.132686	-3.871308	1.088256	0.010308	0.444837
-44.413329	-3.420691	1.091584	0.010618	0.444742
-43.563477	-3.745556	1.094912	0.010412	0.444730
-44.418397	-3.529942	1.098240	0.010619	0.444419
-43.198480	-3.993706	1.101568	0.010324	0.444409
-45.151826	-3.336633	1.104896	0.010797	0.444176
-43.779594	-3.837610	1.108224	0.010464	0.444225
-44.547539	-3.588128	1.111552	0.010650	0.444108
-43.680844	-4.005594	1.114880	0.010440	0.443844
