Thu Oct 24 22:28:08 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.003383	0.000000	-0.000001	0.499101

0.328003	-0.175432	0.003328	-0.000080	0.498975
0.356998	-0.262667	0.006656	-0.000087	0.498777
0.055316	-0.146008	0.009984	-0.000014	0.498785
-0.386892	-0.025106	0.013312	0.000093	0.498667
-0.396456	-0.072354	0.016640	0.000095	0.498535
-0.084673	-0.211440	0.019968	0.000020	0.498479
0.264502	-0.396563	0.023296	-0.000065	0.498340
-0.151408	-0.311261	0.026624	0.000036	0.498155
-0.370184	-0.322237	0.029952	0.000089	0.497913
-0.309439	-0.368447	0.033280	0.000074	0.497852
-0.065675	-0.584668	0.036608	0.000015	0.497529
0.128462	-0.753538	0.039936	-0.000032	0.497280
0.097104	-0.866154	0.043264	-0.000024	0.496957
-0.350497	-0.827602	0.046592	0.000084	0.496618
-0.140670	-1.006928	0.049920	0.000033	0.496357
0.092375	-1.236002	0.053248	-0.000023	0.495989
0.175694	-1.433355	0.056576	-0.000044	0.495556
-0.335315	-1.391923	0.059904	0.000080	0.495162
-0.395115	-1.520363	0.063232	0.000095	0.494767
-0.554106	-1.622843	0.066560	0.000133	0.494343
-0.129799	-1.933833	0.069888	0.000030	0.493947
-0.009547	-2.175699	0.073216	0.000001	0.493432
-0.382686	-2.217661	0.076544	0.000092	0.492954
-0.715891	-2.286288	0.079872	0.000173	0.492444
-0.677600	-2.467203	0.083200	0.000163	0.492007
-0.624825	-2.681996	0.086528	0.000150	0.491494
-0.416337	-2.959894	0.089856	0.000100	0.490969
-0.667555	-3.076943	0.093184	0.000161	0.490411
-1.016323	-3.141480	0.096512	0.000245	0.489894
-0.820106	-3.433964	0.099840	0.000198	0.489317
-0.790406	-3.658444	0.103168	0.000191	0.488753
-0.671866	-3.932907	0.106496	0.000162	0.488145
-0.813937	-4.129028	0.109824	0.000196	0.487483
-0.820415	-4.368386	0.113152	0.000198	0.486841
-0.818739	-4.633349	0.116480	0.000198	0.486138
-0.760734	-4.913052	0.119808	0.000184	0.485452
-0.899735	-5.126367	0.123136	0.000217	0.484743
-0.953281	-5.389840	0.126464	0.000230	0.483986
-1.147453	-5.588064	0.129792	0.000277	0.483260
-1.107961	-5.876872	0.133120	0.000268	0.482526
-1.310622	-6.096329	0.136448	0.000317	0.481733
-1.198007	-6.404438	0.139776	0.000290	0.481019
-1.344710	-6.649454	0.143104	0.000325	0.480211
-1.605848	-6.832722	0.146432	0.000389	0.479452
-1.746958	-7.065928	0.149760	0.000423	0.478678
-1.772098	-7.339315	0.153088	0.000429	0.477913
-1.463002	-7.761566	0.156416	0.000354	0.477085
-1.677768	-7.998461	0.159744	0.000406	0.476223
-2.171776	-8.105128	0.163072	0.000526	0.475427
-2.030235	-8.462249	0.166400	0.000492	0.474600
-1.817474	-8.842646	0.169728	0.000440	0.473781
-1.627597	-9.250846	0.173056	0.000394	0.472861
-1.907411	-9.491238	0.176384	0.000462	0.471914
-2.372149	-9.641903	0.179712	0.000575	0.471020
-2.430478	-9.932028	0.183040	0.000589	0.470162
-2.157555	-10.376733	0.186368	0.000523	0.469221
-2.081989	-10.748413	0.189696	0.000504	0.468274
-2.366140	-10.994976	0.193024	0.000573	0.467296
-2.848863	-11.152417	0.196352	0.000690	0.466355
-2.838616	-11.478989	0.199680	0.000688	0.465460
-3.138895	-11.694713	0.203008	0.000761	0.464544
-3.498727	-11.879225	0.206336	0.000848	0.463652
-9.767623	-9.731413	0.209664	0.002367	0.463047
-14.320515	-7.735944	0.212992	0.003469	0.463824
-9.856735	-9.247886	0.216320	0.002388	0.464303
-14.013870	-7.467067	0.219648	0.003395	0.464896
-11.170286	-8.273276	0.222976	0.002706	0.465637
-12.138693	-7.772508	0.226304	0.002941	0.466013
-9.517924	-8.598347	0.229632	0.002306	0.466465
-11.777604	-7.715010	0.232960	0.002853	0.466551
-10.133100	-8.259704	0.236288	0.002455	0.466761
-11.775146	-7.517921	0.239616	0.002852	0.467100
-9.938485	-8.104980	0.242944	0.002407	0.467393
-10.960272	-7.719822	0.246272	0.002655	0.467393
-9.974220	-8.089757	0.249600	0.002416	0.467398
-10.782630	-7.735806	0.252928	0.002612	0.467534
-9.752451	-8.137586	0.256256	0.002362	0.467498
-10.798775	-7.718916	0.259584	0.002616	0.467564
-10.656992	-7.821793	0.262912	0.002581	0.467428
-10.722945	-7.703612	0.266240	0.002597	0.467686
-9.437087	-8.275969	0.269568	0.002286	0.467444
-10.452648	-7.914890	0.272896	0.002532	0.467384
-10.750974	-7.914836	0.276224	0.002604	0.467072
-11.285492	-7.710857	0.279552	0.002733	0.467079
-9.952736	-8.227420	0.282880	0.002410	0.467041
-9.277456	-8.604918	0.286208	0.002247	0.466701
-10.742952	-8.140848	0.289536	0.002602	0.466455
-11.783951	-7.836313	0.292864	0.002854	0.466211
-12.723445	-7.404560	0.296192	0.003081	0.466426
-11.124508	-7.996623	0.299520	0.002694	0.466456
-11.277502	-8.046269	0.302848	0.002731	0.466159
-10.591669	-8.355012	0.306176	0.002565	0.466020
-12.762053	-7.601815	0.309504	0.003091	0.465838
-12.867360	-7.564382	0.312832	0.003116	0.465832
-12.824130	-7.580308	0.316160	0.003106	0.465833
-11.127039	-8.230890	0.319488	0.002695	0.465804
-11.781011	-8.087617	0.322816	0.002853	0.465517
-12.280309	-7.978568	0.326144	0.002974	0.465297
-13.748080	-7.456640	0.329472	0.003329	0.465209
-11.827274	-8.181405	0.332800	0.002864	0.465208
-12.134623	-8.171436	0.336128	0.002939	0.464914
-11.378311	-8.550992	0.339456	0.002755	0.464651
-13.917182	-7.726552	0.342784	0.003370	0.464280
-13.981277	-7.706769	0.346112	0.003386	0.464268
-14.038480	-7.609621	0.349440	0.003400	0.464479
-11.506032	-8.678422	0.352768	0.002786	0.464163
-12.921382	-8.251747	0.356096	0.003129	0.463864
-14.449052	-7.747800	0.359424	0.003499	0.463662
-15.185995	-7.467932	0.362752	0.003678	0.463668
-14.313873	-7.796802	0.366080	0.003466	0.463668
-12.929400	-8.348766	0.369408	0.003131	0.463585
-13.509759	-8.272316	0.372736	0.003271	0.463188
-15.492312	-7.579912	0.376064	0.003752	0.463033
-17.008244	-6.939541	0.379392	0.004119	0.463225
-14.621356	-7.798804	0.382720	0.003541	0.463340
-14.394236	-7.899967	0.386048	0.003486	0.463297
-13.843222	-8.225244	0.389376	0.003352	0.462969
-15.861746	-7.552399	0.392704	0.003841	0.462721
-15.585780	-7.658379	0.396032	0.003774	0.462716
-14.859056	-7.954375	0.399360	0.003598	0.462655
-13.164338	-8.714857	0.402688	0.003188	0.462316
-14.766458	-8.278655	0.406016	0.003576	0.461845
-16.285669	-7.761186	0.409344	0.003944	0.461690
-17.761767	-7.165601	0.412672	0.004301	0.461799
-16.137446	-7.781932	0.416000	0.003908	0.461789
-14.752466	-8.363230	0.419328	0.003572	0.461624
-15.327563	-8.279013	0.422656	0.003711	0.461252
-16.564018	-7.856450	0.425984	0.004011	0.461129
-18.096677	-7.339619	0.429312	0.004382	0.460957
-17.068966	-7.649121	0.432640	0.004133	0.461176
-16.245323	-8.037908	0.435968	0.003934	0.460957
-15.839125	-8.277284	0.439296	0.003835	0.460716
-17.040592	-7.918681	0.442624	0.004126	0.460450
-18.758216	-7.274351	0.445952	0.004542	0.460440
-17.459852	-7.726352	0.449280	0.004228	0.460546
-15.808352	-8.449230	0.452608	0.003828	0.460266
-17.409713	-7.954180	0.455936	0.004216	0.459959
-17.467499	-8.011845	0.459264	0.004230	0.459736
-19.692029	-7.179494	0.462592	0.004769	0.459717
-18.654091	-7.484551	0.465920	0.004517	0.459960
-17.921174	-7.840635	0.469248	0.004339	0.459736
-17.304584	-8.119480	0.472576	0.004190	0.459606
-17.959968	-8.021532	0.475904	0.004349	0.459186
-19.730914	-7.326789	0.479232	0.004778	0.459261
-19.468841	-7.399420	0.482560	0.004714	0.459335
-18.514600	-7.781001	0.485888	0.004483	0.459275
-17.152218	-8.440355	0.489216	0.004153	0.458865
-18.477146	-8.063997	0.492544	0.004474	0.458517
-20.692181	-7.278449	0.495872	0.005011	0.458376
-19.828243	-7.600635	0.499200	0.004801	0.458386
-19.108911	-7.872157	0.502528	0.004627	0.458386
-17.530085	-8.581466	0.505856	0.004244	0.458065
-19.020158	-8.169198	0.509184	0.004605	0.457641
-20.415957	-7.704914	0.512512	0.004944	0.457465
-21.980916	-7.079680	0.515840	0.005323	0.457564
-19.185668	-8.106790	0.519168	0.004645	0.457642
-19.637997	-8.055590	0.522496	0.004755	0.457304
-19.242218	-8.307665	0.525824	0.004659	0.457013
-22.207534	-7.256088	0.529152	0.005377	0.456823
-22.327590	-7.116685	0.532480	0.005406	0.457090
-21.021040	-7.593513	0.535808	0.005090	0.457136
-19.931569	-8.048067	0.539136	0.004826	0.457013
-21.412475	-7.637840	0.542464	0.005185	0.456592
-22.858461	-7.030807	0.545792	0.005535	0.456767
-21.953789	-7.354636	0.549120	0.005316	0.456816
-21.642973	-7.472214	0.552448	0.005240	0.456816
-19.677839	-8.342316	0.555776	0.004764	0.456451
-21.674209	-7.677215	0.559104	0.005248	0.456201
-21.079629	-7.986922	0.562432	0.005104	0.455959
-23.281596	-7.177377	0.565760	0.005637	0.455899
-20.495333	-8.282275	0.569088	0.004962	0.455747
-21.910059	-7.851559	0.572416	0.005305	0.455454
-21.065000	-8.296346	0.575744	0.005100	0.455096
-23.654562	-7.355647	0.579072	0.005728	0.454993
-23.725696	-7.331691	0.582400	0.005745	0.454985
-22.118189	-7.941772	0.585728	0.005355	0.454975
-22.664367	-7.841171	0.589056	0.005488	0.454675
-22.827622	-7.815913	0.592384	0.005527	0.454572
-24.783840	-7.138173	0.595712	0.006001	0.454400
-24.545375	-7.137047	0.599040	0.005943	0.454660
-23.709070	-7.452171	0.602368	0.005741	0.454661
-22.325367	-8.042948	0.605696	0.005405	0.454465
-24.351958	-7.321990	0.609024	0.005896	0.454341
-25.276822	-7.032183	0.612352	0.006120	0.454173
-25.459040	-6.905837	0.615680	0.006164	0.454337
-21.977377	-8.248576	0.619008	0.005321	0.454254
-23.346274	-7.892973	0.622336	0.005653	0.453796
-23.358252	-7.981562	0.625664	0.005655	0.453530
-25.672579	-7.149334	0.628992	0.006216	0.453414
-23.869107	-7.883247	0.632320	0.005779	0.453261
-22.989865	-8.316925	0.635648	0.005566	0.452970
-23.684079	-8.217427	0.638976	0.005734	0.452506
-25.663707	-7.589690	0.642304	0.006214	0.452165
-26.755329	-7.160435	0.645632	0.006478	0.452215
-25.988122	-7.355566	0.648960	0.006292	0.452485
-24.777454	-7.891481	0.652288	0.005999	0.452259
-25.409345	-7.683110	0.655616	0.006152	0.452173
-28.057826	-6.756103	0.658944	0.006794	0.451966
-27.778381	-6.708104	0.662272	0.006726	0.452405
-26.426670	-7.189362	0.665600	0.006398	0.452488
-24.389637	-8.009499	0.668928	0.005905	0.452340
-26.869640	-7.234636	0.672256	0.006506	0.451880
-26.559070	-7.344851	0.675584	0.006431	0.451900
-26.973767	-7.204092	0.678912	0.006531	0.451855
-24.425885	-8.223989	0.682240	0.005914	0.451688
-25.822241	-7.913478	0.685568	0.006252	0.451067
-25.968242	-7.918423	0.688896	0.006287	0.450895
-28.174211	-7.178018	0.692224	0.006822	0.450631
-25.998404	-8.001758	0.695552	0.006295	0.450624
-26.336679	-8.028607	0.698880	0.006377	0.450180
-25.716602	-8.354942	0.702208	0.006226	0.449914
-28.392806	-7.417735	0.705536	0.006875	0.449705
-28.979212	-7.196760	0.708864	0.007017	0.449705
-27.404282	-7.801874	0.712192	0.006635	0.449674
-28.148359	-7.618440	0.715520	0.006815	0.449394
-29.067062	-7.272802	0.718848	0.007038	0.449391
