Thu Oct 24 20:00:33 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.409027	0.000000	0.000201	0.497798

0.276792	0.325663	0.003328	0.000134	0.497852
0.267759	0.326215	0.006656	0.000136	0.497845
-0.195942	0.546096	0.009984	0.000248	0.497962
-0.501546	0.736992	0.013312	0.000322	0.498159
0.045409	0.532152	0.016640	0.000190	0.498162
0.398183	0.396443	0.019968	0.000104	0.498154
0.372839	0.399399	0.023296	0.000110	0.498137
0.091999	0.394903	0.026624	0.000179	0.497851
-0.099833	0.467992	0.029952	0.000225	0.497853
0.013898	0.428092	0.033280	0.000197	0.497860
0.394835	0.215548	0.036608	0.000105	0.497681
0.359230	0.169247	0.039936	0.000114	0.497526
0.055244	0.168974	0.043264	0.000188	0.497227
-0.054164	0.152849	0.046592	0.000214	0.497078
0.147082	0.015447	0.049920	0.000165	0.496917
0.340040	-0.170067	0.053248	0.000119	0.496624
0.258167	-0.257944	0.056576	0.000139	0.496314
-0.039892	-0.264588	0.059904	0.000211	0.496004
-0.350330	-0.248612	0.063232	0.000286	0.495741
0.013360	-0.479044	0.066560	0.000198	0.495497
0.164459	-0.681352	0.069888	0.000161	0.495117
0.073297	-0.807171	0.073216	0.000184	0.494698
-0.154608	-0.876448	0.076544	0.000239	0.494292
-0.422884	-0.913475	0.079872	0.000304	0.493931
-0.250196	-1.113249	0.083200	0.000262	0.493578
0.102443	-1.421720	0.086528	0.000177	0.493117
-0.252741	-1.455897	0.089856	0.000263	0.492676
-0.351276	-1.599571	0.093184	0.000287	0.492201
-0.296911	-1.784227	0.096512	0.000274	0.491770
-0.374612	-1.961639	0.099840	0.000292	0.491226
-0.124154	-2.250776	0.103168	0.000232	0.490712
-0.079808	-2.490029	0.106496	0.000221	0.490125
-0.693307	-2.461080	0.109824	0.000370	0.489591
-0.840294	-2.622739	0.113152	0.000405	0.489017
-0.601308	-2.916164	0.116480	0.000348	0.488479
-0.464140	-3.194312	0.119808	0.000314	0.487879
-0.628120	-3.377951	0.123136	0.000354	0.487228
-1.037180	-3.444600	0.126464	0.000453	0.486641
-0.884144	-3.722088	0.129792	0.000416	0.486056
