Fri Oct 25 04:23:55 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.138386	0.000000	0.000011	0.511597

0.165464	0.072726	0.003328	-0.000029	0.511589
0.331970	-0.074243	0.006656	-0.000070	0.511377
0.163412	-0.045798	0.009984	-0.000029	0.511290
0.100991	-0.022215	0.013312	-0.000014	0.511291
0.043555	-0.091981	0.016640	-0.000001	0.511061
0.161532	-0.164872	0.019968	-0.000029	0.510990
0.551758	-0.409836	0.023296	-0.000124	0.510743
0.264717	-0.402465	0.026624	-0.000055	0.510489
0.467221	-0.586229	0.029952	-0.000104	0.510217
0.350670	-0.665489	0.033280	-0.000076	0.509906
0.431467	-0.836457	0.036608	-0.000096	0.509551
0.167124	-0.858814	0.039936	-0.000032	0.509242
0.210436	-1.004809	0.043264	-0.000043	0.508914
0.059836	-1.085390	0.046592	-0.000007	0.508566
0.286995	-1.307084	0.049920	-0.000062	0.508221
0.023428	-1.374935	0.053248	0.000002	0.507796
0.000040	-1.525287	0.056576	0.000007	0.507392
-0.040609	-1.653696	0.059904	0.000017	0.507026
0.026935	-1.859972	0.063232	0.000000	0.506566
-0.039928	-2.018072	0.066560	0.000016	0.506099
-0.279848	-2.115012	0.069888	0.000074	0.505621
-0.107893	-2.353013	0.073216	0.000032	0.505179
-0.089400	-2.568901	0.076544	0.000028	0.504645
0.187969	-2.880951	0.079872	-0.000040	0.504114
-0.218076	-2.960909	0.083200	0.000058	0.503517
-0.187165	-3.187364	0.086528	0.000051	0.502966
-0.339149	-3.360448	0.089856	0.000087	0.502375
-0.113704	-3.680125	0.093184	0.000032	0.501771
-0.103543	-3.945697	0.096512	0.000030	0.501097
-0.098635	-4.217489	0.099840	0.000028	0.500401
-0.631257	-4.261906	0.103168	0.000157	0.499769
-0.485298	-4.559417	0.106496	0.000122	0.499142
-0.250664	-4.915694	0.109824	0.000065	0.498449
-0.097841	-5.273521	0.113152	0.000027	0.497670
-0.750512	-5.317241	0.116480	0.000185	0.496918
-0.961237	-5.495593	0.119808	0.000236	0.496248
-0.747398	-5.845129	0.123136	0.000184	0.495548
-0.381790	-6.289444	0.126464	0.000095	0.494748
-0.491680	-6.571650	0.129792	0.000122	0.493903
-0.797510	-6.765933	0.133120	0.000196	0.493093
-1.069456	-6.968640	0.136448	0.000261	0.492293
-0.778013	-7.379914	0.139776	0.000191	0.491502
-0.386536	-7.861692	0.143104	0.000096	0.490623
-0.527382	-8.173182	0.146432	0.000130	0.489662
-0.862990	-8.402198	0.149760	0.000211	0.488723
-1.228414	-8.602019	0.153088	0.000299	0.487830
-1.271996	-8.910723	0.156416	0.000309	0.486969
-1.082876	-9.332540	0.159744	0.000263	0.486038
-1.003163	-9.720951	0.163072	0.000244	0.485085
-1.454113	-9.911967	0.166400	0.000353	0.484123
-1.924640	-10.064537	0.169728	0.000467	0.483242
-2.677191	-10.104973	0.173056	0.000649	0.482375
-12.587267	-6.522831	0.176384	0.003050	0.481964
-22.286935	-2.058210	0.179712	0.005399	0.484129
-10.166287	-6.044341	0.183040	0.002462	0.485685
-17.403453	-2.906287	0.186368	0.004215	0.486777
-7.109668	-6.394318	0.189696	0.001721	0.487818
-14.557242	-3.494847	0.193024	0.003525	0.488064
-11.026022	-4.386581	0.196352	0.002669	0.489228
-12.988196	-3.439144	0.199680	0.003144	0.489778
-9.271695	-4.599089	0.203008	0.002244	0.490415
-9.430249	-4.456114	0.206336	0.002282	0.490635
-9.120739	-4.541917	0.209664	0.002206	0.490718
-10.232112	-4.018033	0.212992	0.002475	0.490996
-10.222197	-3.912698	0.216320	0.002473	0.491284
-10.451559	-3.714736	0.219648	0.002528	0.491578
-8.003592	-4.615201	0.222976	0.001935	0.491638
-8.649266	-4.371858	0.226304	0.002091	0.491639
-9.556751	-4.130341	0.229632	0.002310	0.491375
-9.588819	-4.015210	0.232960	0.002318	0.491648
-8.304148	-4.568028	0.236288	0.002006	0.491468
-8.272967	-4.631089	0.239616	0.001999	0.491334
-8.804846	-4.543452	0.242944	0.002127	0.491038
-9.430571	-4.308872	0.246272	0.002279	0.491036
-9.498530	-4.385948	0.249600	0.002295	0.490766
-9.130376	-4.542135	0.252928	0.002205	0.490721
-9.886654	-4.336799	0.256256	0.002388	0.490512
-9.733135	-4.430223	0.259584	0.002351	0.490420
-10.972164	-3.967887	0.262912	0.002651	0.490408
-10.151764	-4.275715	0.266240	0.002452	0.490413
-11.871523	-3.628808	0.269568	0.002868	0.490411
-8.543938	-4.850856	0.272896	0.002062	0.490497
-11.278580	-3.971044	0.276224	0.002724	0.490100
-9.833057	-4.516298	0.279552	0.002374	0.490100
-11.077531	-4.144096	0.282880	0.002675	0.489845
-8.959859	-4.984728	0.286208	0.002162	0.489734
-11.050393	-4.294534	0.289536	0.002668	0.489477
-9.430700	-5.015825	0.292864	0.002275	0.489185
-12.614838	-3.889660	0.296192	0.003046	0.488990
-10.719500	-4.617944	0.299520	0.002587	0.488955
-13.173676	-3.734388	0.302848	0.003181	0.488846
-10.588731	-4.697153	0.306176	0.002555	0.488878
-12.349142	-4.054655	0.309504	0.002981	0.488823
-11.618383	-4.427455	0.312832	0.002804	0.488566
-13.556183	-3.686514	0.316160	0.003273	0.488596
-12.288361	-4.186307	0.319488	0.002965	0.488539
-12.755147	-4.009049	0.322816	0.003078	0.488543
-11.440449	-4.565126	0.326144	0.002759	0.488384
-12.725006	-4.139431	0.329472	0.003070	0.488230
-12.771182	-4.185806	0.332800	0.003081	0.488062
-13.787381	-3.763101	0.336128	0.003327	0.488168
-12.096515	-4.469396	0.339456	0.002917	0.487987
-11.518030	-4.767006	0.342784	0.002777	0.487777
-11.700373	-4.907772	0.346112	0.002821	0.487222
-14.128440	-4.081802	0.349440	0.003409	0.486986
-13.409524	-4.357056	0.352768	0.003235	0.486976
-12.836403	-4.584228	0.356096	0.003095	0.486947
-10.951692	-5.502982	0.359424	0.002639	0.486394
-13.730198	-4.587249	0.362752	0.003312	0.486046
-15.730971	-3.839521	0.366080	0.003796	0.486029
-16.067263	-3.633980	0.369408	0.003877	0.486240
-13.830016	-4.466104	0.372736	0.003335	0.486271
-12.844772	-4.946520	0.376064	0.003096	0.485982
-15.263733	-4.126871	0.379392	0.003682	0.485738
-16.565447	-3.616925	0.382720	0.003997	0.485790
-17.886429	-2.984885	0.386048	0.004317	0.486148
-13.835642	-4.454726	0.389376	0.003335	0.486301
-14.255945	-4.435881	0.392704	0.003437	0.485931
-14.456804	-4.453727	0.396032	0.003485	0.485683
-17.510759	-3.329152	0.399360	0.004225	0.485613
-14.653644	-4.360693	0.402688	0.003532	0.485735
-14.434989	-4.561396	0.406016	0.003479	0.485421
-12.418938	-5.511385	0.409344	0.002990	0.484915
-15.717116	-4.476721	0.412672	0.003789	0.484360
-16.729693	-4.157882	0.416000	0.004034	0.484193
-17.072326	-3.919665	0.419328	0.004117	0.484485
-15.026783	-4.752950	0.422656	0.003621	0.484320
-14.785565	-4.999044	0.425984	0.003563	0.483906
-15.678939	-4.815143	0.429312	0.003779	0.483499
-17.937308	-4.015146	0.432640	0.004326	0.483363
-17.424041	-4.137949	0.435968	0.004201	0.483553
-16.835600	-4.395287	0.439296	0.004058	0.483459
-17.133923	-4.362556	0.442624	0.004130	0.483246
-17.675279	-4.156335	0.445952	0.004261	0.483253
-18.738041	-3.757697	0.449280	0.004518	0.483249
-18.880999	-3.674976	0.452608	0.004553	0.483327
-18.118762	-3.949678	0.455936	0.004368	0.483362
-16.950448	-4.436641	0.459264	0.004084	0.483239
-17.259978	-4.412763	0.462592	0.004159	0.482991
-17.788097	-4.256158	0.465920	0.004287	0.482879
-18.731312	-3.999228	0.469248	0.004515	0.482615
-17.822960	-4.338965	0.472576	0.004295	0.482624
-17.510747	-4.547144	0.475904	0.004219	0.482382
-17.226531	-4.731602	0.479232	0.004150	0.482176
-18.529458	-4.396909	0.482560	0.004465	0.481757
-18.103057	-4.583296	0.485888	0.004362	0.481689
-18.164903	-4.673068	0.489216	0.004376	0.481386
-19.211211	-4.374913	0.492544	0.004630	0.481129
-19.103896	-4.434127	0.495872	0.004603	0.481079
-19.922739	-4.126405	0.499200	0.004802	0.481078
-20.650016	-3.851086	0.502528	0.004978	0.481082
-21.087814	-3.685901	0.505856	0.005083	0.481083
-20.531084	-3.891371	0.509184	0.004948	0.481096
-19.619079	-4.239166	0.512512	0.004727	0.481087
-20.346310	-3.969026	0.515840	0.004903	0.481077
-19.618218	-4.277829	0.519168	0.004726	0.480986
-20.527938	-4.018201	0.522496	0.004946	0.480763
-19.850504	-4.307723	0.525824	0.004782	0.480672
-20.710896	-4.064857	0.529152	0.004990	0.480453
-19.401915	-4.620588	0.532480	0.004673	0.480287
-20.395221	-4.381859	0.535808	0.004913	0.479922
-20.030727	-4.567291	0.539136	0.004825	0.479794
