Fri Oct 25 01:06:59 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.121613	0.000000	-0.000051	0.498701

-0.038254	-0.185810	0.003328	-0.000041	0.498497
0.148729	-0.256671	0.006656	-0.000087	0.498496
0.135748	-0.276499	0.009984	-0.000083	0.498432
0.342574	-0.454359	0.013312	-0.000134	0.498173
-0.024208	-0.393477	0.016640	-0.000045	0.497972
-0.163372	-0.382179	0.019968	-0.000011	0.497866
-0.152640	-0.466079	0.023296	-0.000014	0.497658
-0.079395	-0.551076	0.026624	-0.000031	0.497509
-0.050036	-0.660834	0.029952	-0.000039	0.497252
-0.134094	-0.731434	0.033280	-0.000018	0.496986
-0.460511	-0.703760	0.036608	0.000061	0.496738
-0.327595	-0.834961	0.039936	0.000029	0.496527
-0.124722	-1.032882	0.043264	-0.000020	0.496211
-0.113727	-1.175567	0.046592	-0.000023	0.495850
-0.530089	-1.148008	0.049920	0.000078	0.495512
-0.416263	-1.308533	0.053248	0.000050	0.495205
-0.498715	-1.410917	0.056576	0.000070	0.494857
-0.202292	-1.668994	0.059904	-0.000002	0.494474
-0.095616	-1.887060	0.063232	-0.000027	0.494009
-0.131659	-2.058713	0.066560	-0.000019	0.493523
-0.535478	-2.095020	0.069888	0.000079	0.493029
-0.467471	-2.292139	0.073216	0.000063	0.492579
-0.448753	-2.480362	0.076544	0.000058	0.492103
-0.182770	-2.795966	0.079872	-0.000006	0.491537
-0.417048	-2.915907	0.083200	0.000051	0.490989
-0.615383	-3.052129	0.086528	0.000099	0.490433
-0.491413	-3.310160	0.089856	0.000069	0.489875
-0.589111	-3.503032	0.093184	0.000092	0.489269
-0.597249	-3.730216	0.096512	0.000094	0.488660
-0.762974	-3.909475	0.099840	0.000134	0.488019
-1.224753	-3.956925	0.103168	0.000246	0.487432
-1.341195	-4.139028	0.106496	0.000275	0.486832
-2.213305	-4.018403	0.109824	0.000486	0.486279
-5.580520	-2.834722	0.113152	0.001302	0.486052
-6.490463	-2.394237	0.116480	0.001522	0.486311
-5.206968	-2.861476	0.119808	0.001211	0.486355
-5.117307	-2.888279	0.123136	0.001189	0.486374
-5.153814	-2.883268	0.126464	0.001198	0.486351
-4.527584	-3.114657	0.129792	0.001046	0.486363
-4.932134	-2.987765	0.133120	0.001144	0.486295
-5.886270	-2.718372	0.136448	0.001375	0.486055
-4.940270	-3.080043	0.139776	0.001146	0.486042
-4.662102	-3.215584	0.143104	0.001079	0.485960
-4.803828	-3.248991	0.146432	0.001113	0.485729
-6.036907	-2.895000	0.149760	0.001412	0.485434
-7.247219	-2.374304	0.153088	0.001705	0.485606
-6.371018	-2.653607	0.156416	0.001493	0.485742
-6.241163	-2.713011	0.159744	0.001461	0.485714
-5.534736	-3.087650	0.163072	0.001290	0.485426
-7.310564	-2.414577	0.166400	0.001720	0.485436
-8.382323	-2.009810	0.169728	0.001980	0.485438
-8.236852	-1.959440	0.173056	0.001945	0.485718
-5.732479	-2.922076	0.176384	0.001338	0.485669
-4.983001	-3.325970	0.179712	0.001156	0.485345
-5.940743	-3.129670	0.183040	0.001388	0.484906
-8.442710	-2.222255	0.186368	0.001994	0.484811
-7.711488	-2.495072	0.189696	0.001817	0.484819
-6.266205	-3.050080	0.193024	0.001467	0.484792
-5.376178	-3.548590	0.196352	0.001251	0.484356
-6.698885	-3.204555	0.199680	0.001572	0.483944
-8.378700	-2.599187	0.203008	0.001979	0.483869
-8.820741	-2.432602	0.206336	0.002086	0.483869
-7.548468	-2.938343	0.209664	0.001778	0.483799
-7.075200	-3.209629	0.212992	0.001663	0.483551
-7.819936	-3.039980	0.216320	0.001843	0.483254
-9.876392	-2.261565	0.219648	0.002342	0.483263
-9.883757	-2.259678	0.222976	0.002343	0.483260
-9.094015	-2.559070	0.226304	0.002152	0.483256
-8.103381	-2.932108	0.229632	0.001912	0.483257
-9.516027	-2.503717	0.232960	0.002254	0.482978
-9.484117	-2.530973	0.236288	0.002246	0.482938
-9.876580	-2.382098	0.239616	0.002341	0.482940
-9.056699	-2.689776	0.242944	0.002143	0.482944
-8.377813	-3.013163	0.246272	0.001978	0.482764
-7.726566	-3.383145	0.249600	0.001821	0.482430
-8.875243	-3.109832	0.252928	0.002099	0.482002
-9.589550	-2.951334	0.256256	0.002272	0.481704
-9.039300	-3.218789	0.259584	0.002139	0.481543
-9.722350	-3.030290	0.262912	0.002304	0.481358
-10.340906	-2.896975	0.266240	0.002454	0.481089
-11.608028	-2.421614	0.269568	0.002761	0.481083
-10.743628	-2.750842	0.272896	0.002551	0.481074
-10.337179	-2.903841	0.276224	0.002453	0.481075
-11.584784	-2.545727	0.279552	0.002755	0.480773
-11.830821	-2.356406	0.282880	0.002815	0.481033
-12.160630	-2.259747	0.286208	0.002895	0.480959
-11.272175	-2.548313	0.289536	0.002679	0.481084
-11.239923	-2.664240	0.292864	0.002672	0.480805
-11.090849	-2.736033	0.296192	0.002635	0.480763
-12.068128	-2.469835	0.299520	0.002872	0.480488
-13.195105	-1.976907	0.302848	0.003145	0.480671
-10.714521	-2.931588	0.306176	0.002544	0.480619
-10.204511	-3.256426	0.309504	0.002421	0.480262
-10.368863	-3.382575	0.312832	0.002460	0.479755
-12.335115	-2.723572	0.316160	0.002937	0.479533
-11.527341	-3.096072	0.319488	0.002741	0.479350
-10.850419	-3.479896	0.322816	0.002577	0.479002
-11.455437	-3.402760	0.326144	0.002724	0.478595
-13.392942	-2.782537	0.329472	0.003193	0.478297
-14.059992	-2.520009	0.332800	0.003355	0.478327
-13.113285	-2.850804	0.336128	0.003125	0.478397
-12.865774	-2.985178	0.339456	0.003065	0.478286
-12.545270	-3.198118	0.342784	0.002988	0.478037
-15.775875	-1.999021	0.346112	0.003770	0.477986
-15.847388	-1.855447	0.349440	0.003787	0.478302
-16.200468	-1.603005	0.352768	0.003873	0.478625
-11.882931	-3.221279	0.356096	0.002827	0.478651
-14.735227	-2.277632	0.359424	0.003518	0.478295
-13.570104	-2.744961	0.362752	0.003236	0.478219
-16.320968	-1.725057	0.366080	0.003902	0.478172
-11.644941	-3.497071	0.369408	0.002769	0.478148
-13.285813	-3.087737	0.372736	0.003167	0.477581
-11.582171	-3.905657	0.376064	0.002754	0.477105
-15.909546	-2.411468	0.379392	0.003802	0.476733
-14.291696	-3.026936	0.382720	0.003410	0.476718
-15.945243	-2.425912	0.386048	0.003811	0.476657
-13.464254	-3.452396	0.389376	0.003210	0.476410
-14.385024	-3.210735	0.392704	0.003433	0.476123
-14.323000	-3.399738	0.396032	0.003418	0.475673
-16.564767	-2.572287	0.399360	0.003961	0.475625
-16.139263	-2.781118	0.402688	0.003858	0.475493
-17.742189	-2.101603	0.406016	0.004246	0.475698
-17.501836	-2.156740	0.409344	0.004188	0.475795
-16.903465	-2.287339	0.412672	0.004043	0.476053
-15.583368	-2.866132	0.416000	0.003723	0.475833
-16.052309	-2.748007	0.419328	0.003837	0.475673
-19.061498	-1.655441	0.422656	0.004566	0.475559
-17.056451	-2.287233	0.425984	0.004080	0.475897
-15.810440	-2.855010	0.429312	0.003778	0.475631
-13.398725	-3.907405	0.432640	0.003194	0.475241
-18.037099	-2.366432	0.435968	0.004317	0.474675
-17.156185	-2.628994	0.439296	0.004104	0.474865
-18.499325	-2.190258	0.442624	0.004429	0.474680
-12.939629	-4.364892	0.445952	0.003082	0.474467
-15.688726	-3.636742	0.449280	0.003749	0.473625
-15.255181	-3.982707	0.452608	0.003644	0.473126
-21.539727	-1.659165	0.455936	0.005166	0.473000
-18.222756	-2.791037	0.459264	0.004362	0.473325
