Thu Oct 24 22:50:54 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.011073	0.000000	0.000007	0.498476

-0.248353	0.103707	0.003328	0.000067	0.498474
-0.051005	0.031911	0.006656	0.000019	0.498480
-0.025961	-0.093684	0.009984	0.000013	0.498179
0.143062	-0.165195	0.013312	-0.000028	0.498159
0.105842	-0.172475	0.016640	-0.000019	0.498104
-0.052536	-0.209887	0.019968	0.000019	0.497852
0.084776	-0.278592	0.023296	-0.000014	0.497808
-0.045642	-0.335837	0.026624	0.000017	0.497531
-0.002836	-0.402053	0.029952	0.000007	0.497401
0.011497	-0.491389	0.033280	0.000004	0.497183
-0.222275	-0.507604	0.036608	0.000060	0.496912
-0.116865	-0.650487	0.039936	0.000035	0.496643
0.068534	-0.824548	0.043264	-0.000010	0.496372
0.038149	-0.935586	0.046592	-0.000003	0.496053
-0.278266	-0.946161	0.049920	0.000074	0.495714
-0.309669	-1.056752	0.053248	0.000081	0.495395
-0.259612	-1.208136	0.056576	0.000069	0.495049
-0.667203	-1.182896	0.059904	0.000168	0.494713
-0.563729	-1.357702	0.063232	0.000143	0.494358
-0.263334	-1.610037	0.066560	0.000070	0.493994
-0.635431	-1.624489	0.069888	0.000160	0.493589
-0.677820	-1.760656	0.073216	0.000171	0.493190
-0.695832	-1.913399	0.076544	0.000175	0.492772
-0.704400	-2.064896	0.079872	0.000177	0.492366
-0.781547	-2.223663	0.083200	0.000196	0.491872
-0.763381	-2.392188	0.086528	0.000191	0.491447
-0.867432	-2.557012	0.089856	0.000217	0.490910
-0.902892	-2.712609	0.093184	0.000225	0.490464
-0.979350	-2.878676	0.096512	0.000244	0.489950
-0.915666	-3.107349	0.099840	0.000228	0.489410
-0.943762	-3.308589	0.103168	0.000235	0.488850
-1.081798	-3.474586	0.106496	0.000269	0.488272
-1.382375	-3.567111	0.109824	0.000341	0.487727
-1.623099	-3.691643	0.113152	0.000400	0.487156
-1.428264	-3.959087	0.116480	0.000353	0.486640
-1.442323	-4.174670	0.119808	0.000356	0.486053
-1.628329	-4.330173	0.123136	0.000401	0.485452
-1.742128	-4.501173	0.126464	0.000429	0.484882
-1.847593	-4.693903	0.129792	0.000454	0.484262
-1.754765	-4.957757	0.133120	0.000432	0.483650
-2.007691	-5.094065	0.136448	0.000493	0.483030
-2.391534	-5.176081	0.139776	0.000586	0.482423
-2.411636	-5.383802	0.143104	0.000591	0.481845
-2.549135	-5.556157	0.146432	0.000624	0.481243
-2.801331	-5.681665	0.149760	0.000685	0.480650
-3.072965	-5.779533	0.153088	0.000751	0.480111
-3.331343	-5.878395	0.156416	0.000814	0.479582
-4.821439	-5.501174	0.159744	0.001175	0.479084
-6.376425	-4.978993	0.163072	0.001552	0.478911
-4.702353	-5.652846	0.166400	0.001146	0.478796
-4.590393	-5.834591	0.169728	0.001119	0.478419
-4.714700	-5.929144	0.173056	0.001149	0.478036
-5.628485	-5.724350	0.176384	0.001370	0.477658
-5.661140	-5.805440	0.179712	0.001378	0.477405
-6.115132	-5.742298	0.183040	0.001488	0.477112
-5.972102	-5.871736	0.186368	0.001454	0.476908
-8.062906	-5.150404	0.189696	0.001960	0.476726
-6.591886	-5.704180	0.193024	0.001604	0.476729
