Fri Oct 25 00:22:28 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.039420	0.000000	0.000052	0.498382

-0.168422	0.146428	0.003328	0.000093	0.498495
-0.154550	0.141535	0.006656	0.000090	0.498496
0.246505	-0.032279	0.009984	-0.000007	0.498437
0.040078	-0.053643	0.013312	0.000043	0.498180
0.104319	-0.076894	0.016640	0.000027	0.498183
-0.130962	0.006644	0.019968	0.000084	0.498169
-0.014633	-0.107269	0.023296	0.000056	0.497987
0.149708	-0.217780	0.026624	0.000016	0.497861
0.018481	-0.266008	0.029952	0.000048	0.497608
-0.083195	-0.287181	0.033280	0.000072	0.497453
-0.420821	-0.241133	0.036608	0.000154	0.497242
-0.097616	-0.412075	0.039936	0.000076	0.497114
-0.158538	-0.481968	0.043264	0.000091	0.496873
0.154621	-0.722481	0.046592	0.000015	0.496554
-0.342768	-0.645567	0.049920	0.000135	0.496266
-0.421412	-0.719908	0.053248	0.000154	0.495995
-0.418377	-0.833876	0.056576	0.000154	0.495701
-0.205701	-1.035238	0.059904	0.000102	0.495384
-0.480741	-1.077780	0.063232	0.000169	0.495003
-0.408386	-1.231358	0.066560	0.000151	0.494672
-0.878744	-1.180270	0.069888	0.000265	0.494343
-0.463829	-1.468338	0.073216	0.000165	0.493998
-0.252325	-1.715561	0.076544	0.000113	0.493559
-0.254628	-1.906584	0.079872	0.000114	0.493056
-0.882997	-1.833146	0.083200	0.000266	0.492627
-0.788875	-2.034877	0.086528	0.000243	0.492191
-0.282093	-2.402721	0.089856	0.000121	0.491726
-0.247098	-2.636068	0.093184	0.000112	0.491146
-0.530079	-2.743987	0.096512	0.000181	0.490581
-0.848884	-2.844911	0.099840	0.000258	0.489998
-1.044039	-2.961295	0.103168	0.000305	0.489496
-0.703651	-3.299735	0.106496	0.000223	0.488941
-1.107044	-3.369571	0.109824	0.000321	0.488353
-1.286877	-3.521362	0.113152	0.000364	0.487772
-1.504618	-3.643371	0.116480	0.000417	0.487230
-1.439098	-3.864014	0.119808	0.000401	0.486710
-1.318758	-4.133012	0.123136	0.000372	0.486115
-1.340277	-4.360413	0.126464	0.000377	0.485488
-1.893593	-4.375593	0.129792	0.000511	0.484892
-1.952574	-4.562460	0.133120	0.000526	0.484334
-1.824062	-4.831109	0.136448	0.000495	0.483745
-2.188380	-4.923215	0.139776	0.000583	0.483131
-3.605840	-4.572902	0.143104	0.000926	0.482638
-7.237284	-3.254371	0.146432	0.001806	0.482503
-5.133628	-4.004204	0.149760	0.001296	0.482619
-7.869458	-2.948818	0.153088	0.001959	0.482684
-6.740928	-3.277247	0.156416	0.001686	0.482944
-8.445729	-2.564404	0.159744	0.002099	0.483132
-5.940773	-3.407859	0.163072	0.001492	0.483402
-6.569433	-3.231746	0.166400	0.001644	0.483239
-5.689406	-3.561704	0.169728	0.001431	0.483244
-6.572230	-3.224953	0.173056	0.001645	0.483255
-4.924301	-3.933164	0.176384	0.001245	0.483022
-5.013733	-4.037720	0.179712	0.001267	0.482652
-5.307920	-4.075364	0.183040	0.001338	0.482253
-6.908136	-3.560979	0.186368	0.001726	0.482015
-5.806520	-4.014058	0.189696	0.001459	0.481914
-5.667109	-4.174962	0.193024	0.001425	0.481623
-5.899720	-4.240952	0.196352	0.001482	0.481210
-8.755544	-3.213724	0.199680	0.002174	0.481077
-8.079352	-3.468701	0.203008	0.002010	0.481077
-8.287617	-3.287160	0.206336	0.002060	0.481354
-6.915031	-3.881919	0.209664	0.001728	0.481147
-8.106796	-3.459436	0.212992	0.002016	0.481075
-9.162350	-3.058034	0.216320	0.002272	0.481084
-10.192132	-2.608394	0.219648	0.002521	0.481249
-8.444581	-3.213265	0.222976	0.002098	0.481394
-6.819511	-3.882572	0.226304	0.001704	0.481242
-7.692919	-3.710036	0.229632	0.001916	0.480821
-8.528513	-3.423242	0.232960	0.002118	0.480745
-9.918146	-2.964622	0.236288	0.002455	0.480569
-7.027037	-4.040623	0.239616	0.001755	0.480607
-7.354601	-4.115185	0.242944	0.001834	0.480074
-7.591149	-4.157264	0.246272	0.001891	0.479720
-9.840601	-3.375457	0.249600	0.002436	0.479541
-8.736161	-3.811819	0.252928	0.002169	0.479487
-8.283687	-4.107868	0.256256	0.002059	0.479149
-7.956072	-4.365413	0.259584	0.001980	0.478787
