Thu Oct 24 20:22:49 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	-0.238094	0.000000	-0.000135	0.498831

-0.407178	-0.101247	0.003328	-0.000036	0.498788
-0.325268	-0.133711	0.006656	-0.000056	0.498784
-0.058469	-0.284476	0.009984	-0.000121	0.498654
0.197551	-0.459178	0.013312	-0.000183	0.498451
-0.165188	-0.430635	0.016640	-0.000095	0.498171
-0.533049	-0.349965	0.019968	-0.000006	0.498020
-0.585231	-0.395101	0.023296	0.000007	0.497852
-0.222026	-0.612934	0.026624	-0.000081	0.497642
-0.190083	-0.730366	0.029952	-0.000089	0.497368
-0.105419	-0.882694	0.033280	-0.000110	0.497055
-0.564588	-0.828075	0.036608	0.000002	0.496746
-0.522944	-0.955245	0.039936	-0.000008	0.496456
-0.205237	-1.197732	0.043264	-0.000085	0.496136
-0.220465	-1.328205	0.046592	-0.000082	0.495781
-0.497047	-1.386079	0.049920	-0.000015	0.495358
-0.710759	-1.454433	0.053248	0.000037	0.494969
-0.862396	-1.532103	0.056576	0.000074	0.494617
-0.456939	-1.820630	0.059904	-0.000024	0.494262
-0.512986	-1.992854	0.063232	-0.000011	0.493756
-0.397014	-2.206652	0.066560	-0.000039	0.493310
-0.708090	-2.297844	0.069888	0.000036	0.492763
-0.728674	-2.456454	0.073216	0.000041	0.492327
-0.773949	-2.643771	0.076544	0.000052	0.491789
-0.785099	-2.832913	0.079872	0.000055	0.491281
-0.676805	-3.072828	0.083200	0.000029	0.490756
-0.982000	-3.176388	0.086528	0.000103	0.490180
-0.948175	-3.404974	0.089856	0.000095	0.489610
-1.107617	-3.566657	0.093184	0.000133	0.489024
-1.185310	-3.751715	0.096512	0.000152	0.488457
-1.062092	-4.014749	0.099840	0.000122	0.487883
-1.140284	-4.222984	0.103168	0.000141	0.487252
-1.431454	-4.359067	0.106496	0.000212	0.486600
-1.322286	-4.636643	0.109824	0.000186	0.485971
-1.360451	-4.865084	0.113152	0.000195	0.485324
-1.208385	-5.189700	0.116480	0.000158	0.484611
-1.518912	-5.337859	0.119808	0.000233	0.483903
-1.603566	-5.557913	0.123136	0.000254	0.483229
-1.641525	-5.800176	0.126464	0.000263	0.482542
-1.852686	-5.997711	0.129792	0.000314	0.481798
-1.452371	-6.426020	0.133120	0.000217	0.481053
-1.791048	-6.594410	0.136448	0.000299	0.480256
-2.096169	-6.746402	0.139776	0.000373	0.479537
-2.218940	-6.963000	0.143104	0.000403	0.478827
-1.995946	-7.337600	0.146432	0.000349	0.478042
-1.878343	-7.668982	0.149760	0.000321	0.477265
-2.174657	-7.867248	0.153088	0.000393	0.476424
-2.473146	-8.047700	0.156416	0.000465	0.475628
-2.576511	-8.294810	0.159744	0.000490	0.474849
