Fri Oct 25 04:57:42 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.046909	0.000000	0.000027	0.499109

0.054531	0.026150	0.003328	0.000014	0.499109
0.069108	-0.024171	0.006656	0.000010	0.498993
0.368223	-0.215336	0.009984	-0.000062	0.498790
0.366260	-0.211199	0.013312	-0.000062	0.498799
0.249819	-0.272901	0.016640	-0.000034	0.498525
0.088286	-0.224112	0.019968	0.000006	0.498494
0.116257	-0.338060	0.023296	-0.000001	0.498225
-0.017919	-0.315314	0.026624	0.000031	0.498153
0.022147	-0.443078	0.029952	0.000022	0.497861
0.010820	-0.500181	0.033280	0.000024	0.497701
-0.026082	-0.573202	0.036608	0.000033	0.497476
-0.163727	-0.611709	0.039936	0.000067	0.497241
-0.246618	-0.702257	0.043264	0.000087	0.496924
-0.190858	-0.820750	0.046592	0.000073	0.496670
-0.214557	-0.924984	0.049920	0.000079	0.496376
-0.114575	-1.081889	0.053248	0.000055	0.496065
-0.200047	-1.179780	0.056576	0.000075	0.495726
-0.394918	-1.245267	0.059904	0.000123	0.495363
-0.309150	-1.415911	0.063232	0.000102	0.495002
-0.244510	-1.583273	0.066560	0.000086	0.494628
-0.353092	-1.697606	0.069888	0.000112	0.494222
-0.509907	-1.818469	0.073216	0.000150	0.493751
-0.632799	-1.924837	0.076544	0.000180	0.493351
-0.686679	-2.065307	0.079872	0.000193	0.492930
-0.475471	-2.334028	0.083200	0.000142	0.492433
-0.314409	-2.584019	0.086528	0.000103	0.491936
-0.713499	-2.626741	0.089856	0.000200	0.491428
-0.784627	-2.795900	0.093184	0.000217	0.490912
-1.106283	-2.860510	0.096512	0.000295	0.490422
-0.727734	-3.195363	0.099840	0.000203	0.489915
-0.836831	-3.377738	0.103168	0.000230	0.489325
-1.014178	-3.530913	0.106496	0.000273	0.488743
-1.456553	-3.567556	0.109824	0.000380	0.488205
-1.324365	-3.814533	0.113152	0.000348	0.487682
-1.301968	-4.037499	0.116480	0.000342	0.487113
-1.368441	-4.241893	0.119808	0.000359	0.486503
-1.852069	-4.280537	0.123136	0.000476	0.485916
-2.077267	-4.387088	0.126464	0.000530	0.485406
-1.941578	-4.634739	0.129792	0.000497	0.484882
-2.159092	-4.764014	0.133120	0.000550	0.484318
-2.077260	-5.012454	0.136448	0.000530	0.483737
-2.720718	-4.980081	0.139776	0.000686	0.483175
-2.704171	-5.165744	0.143104	0.000682	0.482694
-2.952562	-5.274016	0.146432	0.000742	0.482153
-3.125450	-5.406906	0.149760	0.000784	0.481621
-5.465868	-4.643091	0.153088	0.001351	0.481303
-4.824392	-4.966611	0.156416	0.001196	0.481084
-4.145126	-5.305662	0.159744	0.001031	0.480861
-4.174855	-5.456286	0.163072	0.001039	0.480425
-4.287329	-5.568829	0.166400	0.001066	0.480008
-5.892702	-5.045025	0.169728	0.001455	0.479789
-6.372724	-4.958358	0.173056	0.001571	0.479534
-5.187189	-5.442990	0.176384	0.001284	0.479433
-5.565913	-5.415179	0.179712	0.001375	0.479123
-6.269334	-5.260608	0.183040	0.001546	0.478824
-8.433724	-4.427723	0.186368	0.002070	0.478870
-7.131330	-4.904847	0.189696	0.001755	0.478907
-6.110654	-5.329467	0.193024	0.001507	0.478800
-5.639752	-5.644858	0.196352	0.001393	0.478427
-7.265789	-5.158024	0.199680	0.001787	0.478086
-8.498796	-4.736154	0.203008	0.002086	0.477970
-8.243910	-4.729347	0.206336	0.002024	0.478249
-6.586618	-5.442143	0.209664	0.001623	0.478011
-6.794549	-5.468437	0.212992	0.001673	0.477727
-6.798276	-5.585161	0.216320	0.001674	0.477408
-8.503782	-5.050836	0.219648	0.002087	0.477113
-9.496576	-4.677270	0.222976	0.002327	0.477111
-8.802164	-4.849142	0.226304	0.002159	0.477355
-7.572916	-5.400576	0.229632	0.001861	0.477117
-7.425053	-5.544030	0.232960	0.001825	0.476879
-7.988066	-5.471427	0.236288	0.001962	0.476500
-9.037227	-5.105096	0.239616	0.002216	0.476421
-9.271647	-5.113193	0.242944	0.002273	0.476159
-9.680560	-4.973292	0.246272	0.002372	0.476120
-8.809594	-5.303063	0.249600	0.002161	0.476117
-9.184770	-5.252070	0.252928	0.002252	0.475871
-10.541154	-4.766144	0.256256	0.002580	0.475802
-11.399286	-4.408555	0.259584	0.002788	0.475894
-9.426484	-5.092994	0.262912	0.002310	0.476056
-8.163337	-5.705325	0.266240	0.002004	0.475686
-9.162633	-5.473511	0.269568	0.002246	0.475292
-10.334536	-5.069088	0.272896	0.002530	0.475190
-11.316826	-4.699189	0.276224	0.002768	0.475189
-9.110494	-5.594293	0.279552	0.002233	0.475017
-9.540926	-5.578964	0.282880	0.002338	0.474617
-9.497562	-5.712891	0.286208	0.002327	0.474296
-12.615064	-4.617602	0.289536	0.003082	0.474077
-11.952754	-4.804528	0.292864	0.002922	0.474249
-12.681710	-4.484999	0.296192	0.003099	0.474371
-9.203980	-5.820416	0.299520	0.002256	0.474305
-12.552435	-4.693877	0.302848	0.003067	0.473934
-11.563305	-5.065123	0.306176	0.002828	0.473939
-14.220891	-3.999044	0.309504	0.003471	0.474114
-9.968440	-5.593095	0.312832	0.002441	0.474140
-11.556961	-5.144012	0.316160	0.002826	0.473731
-10.331255	-5.699488	0.319488	0.002529	0.473476
-14.218701	-4.294088	0.322816	0.003471	0.473311
-12.599365	-4.900829	0.326144	0.003078	0.473321
-13.264013	-4.648117	0.329472	0.003239	0.473327
-9.744846	-6.033488	0.332800	0.002387	0.473168
-11.668863	-5.487751	0.336128	0.002853	0.472676
-11.358101	-5.759199	0.339456	0.002778	0.472254
-14.939835	-4.441527	0.342784	0.003645	0.472164
-12.933552	-5.169527	0.346112	0.003159	0.472242
-13.116510	-5.160999	0.349440	0.003203	0.472076
-10.874289	-6.127748	0.352768	0.002660	0.471744
-14.340689	-4.928095	0.356096	0.003500	0.471449
-15.136544	-4.626499	0.359424	0.003693	0.471454
-16.714580	-3.924056	0.362752	0.004075	0.471748
-12.499255	-5.480470	0.366080	0.003054	0.471839
-12.941835	-5.452053	0.369408	0.003161	0.471460
-13.826178	-5.225504	0.372736	0.003375	0.471166
-17.651292	-3.746932	0.376064	0.004302	0.471266
-16.130249	-4.188638	0.379392	0.003933	0.471628
-12.873584	-5.406810	0.382720	0.003144	0.471655
-11.906947	-5.998529	0.386048	0.002910	0.471031
-14.114184	-5.340363	0.389376	0.003445	0.470553
-16.850206	-4.314486	0.392704	0.004108	0.470537
-15.207256	-4.935336	0.396032	0.003710	0.470533
-13.050916	-5.821910	0.399360	0.003187	0.470332
-12.776833	-6.124577	0.402688	0.003121	0.469783
-15.448091	-5.292012	0.406016	0.003768	0.469302
-17.090218	-4.683426	0.409344	0.004166	0.469272
-17.289793	-4.558488	0.412672	0.004214	0.469409
-14.504766	-5.591387	0.416000	0.003539	0.469457
-15.773416	-5.272211	0.419328	0.003847	0.469018
-16.389968	-5.057883	0.422656	0.003996	0.468968
-19.502310	-3.854932	0.425984	0.004750	0.469049
-16.016795	-5.086404	0.429312	0.003906	0.469278
-17.430142	-4.621930	0.432640	0.004248	0.469089
-14.747511	-5.686506	0.435968	0.003598	0.468943
-19.276099	-4.042080	0.439296	0.004695	0.468769
-16.871204	-4.880829	0.442624	0.004112	0.468957
-17.465998	-4.660339	0.445952	0.004256	0.468947
-14.951253	-5.766753	0.449280	0.003647	0.468510
-16.852992	-5.196735	0.452608	0.004108	0.468104
-16.954926	-5.254672	0.455936	0.004133	0.467837
-19.237283	-4.371937	0.459264	0.004686	0.467898
-16.694401	-5.366259	0.462592	0.004069	0.467801
-16.917269	-5.362909	0.465920	0.004123	0.467578
-15.779183	-5.987574	0.469248	0.003848	0.467037
-18.808680	-4.938191	0.472576	0.004582	0.466778
-18.948970	-4.886299	0.475904	0.004616	0.466776
-19.041757	-4.850333	0.479232	0.004638	0.466779
-17.563172	-5.482387	0.482560	0.004280	0.466572
-18.174198	-5.322436	0.485888	0.004428	0.466377
-20.664166	-4.460883	0.489216	0.005031	0.466162
-21.749857	-3.907892	0.492544	0.005294	0.466560
-20.726896	-4.214378	0.495872	0.005046	0.466781
-19.341848	-4.738019	0.499200	0.004711	0.466777
-17.577223	-5.453375	0.502528	0.004283	0.466639
-18.387699	-5.301591	0.505856	0.004479	0.466212
-20.150349	-4.709993	0.509184	0.004906	0.466009
-20.745585	-4.520341	0.512512	0.005051	0.465913
-19.689208	-4.855163	0.515840	0.004795	0.466089
-18.172439	-5.571125	0.519168	0.004427	0.465690
-18.187049	-5.732644	0.522496	0.004431	0.465225
-19.572052	-5.377957	0.525824	0.004766	0.464759
-21.323765	-4.776260	0.529152	0.005191	0.464595
-21.371194	-4.757540	0.532480	0.005202	0.464597
-19.501137	-5.472911	0.535808	0.004749	0.464569
-19.091640	-5.770757	0.539136	0.004650	0.464170
-20.780374	-5.273216	0.542464	0.005059	0.463781
-23.404483	-4.243999	0.545792	0.005694	0.463891
-22.683692	-4.467249	0.549120	0.005520	0.464027
-21.261762	-4.920675	0.552448	0.005175	0.464258
-20.200252	-5.473648	0.555776	0.004918	0.463833
-22.676798	-4.598374	0.559104	0.005518	0.463669
-23.686824	-4.200347	0.562432	0.005763	0.463717
-24.339060	-3.820628	0.565760	0.005921	0.464090
-20.644343	-5.202973	0.569088	0.005026	0.464121
-20.138847	-5.562643	0.572416	0.004903	0.463650
-21.874018	-5.058917	0.575744	0.005323	0.463229
-24.017486	-4.283405	0.579072	0.005843	0.463137
-23.326630	-4.468614	0.582400	0.005675	0.463348
-20.653551	-5.537896	0.585728	0.005028	0.463177
-19.909815	-6.037843	0.589056	0.004848	0.462564
-21.382827	-5.693072	0.592384	0.005204	0.461974
-24.117245	-4.723321	0.595712	0.005867	0.461801
-24.580681	-4.551207	0.599040	0.005979	0.461794
-23.507118	-4.954571	0.602368	0.005719	0.461798
-22.035936	-5.564616	0.605696	0.005363	0.461644
-23.340380	-5.185636	0.609024	0.005679	0.461327
-25.647378	-4.340398	0.612352	0.006237	0.461257
-25.411321	-4.347853	0.615680	0.006180	0.461486
-23.463115	-5.081073	0.619008	0.005708	0.461491
-22.234695	-5.647797	0.622336	0.005411	0.461201
-24.435301	-4.934739	0.625664	0.005944	0.460873
-25.342851	-4.593913	0.628992	0.006163	0.460869
-26.395116	-4.195470	0.632320	0.006418	0.460873
-25.323017	-4.538599	0.635648	0.006159	0.461045
-23.649861	-5.235020	0.638976	0.005753	0.460862
-23.765057	-5.318414	0.642304	0.005781	0.460506
-25.314203	-4.824994	0.645632	0.006156	0.460250
-25.637674	-4.704898	0.648960	0.006235	0.460245
-25.547162	-4.735130	0.652288	0.006213	0.460256
-23.460814	-5.663255	0.655616	0.005707	0.459859
-24.629170	-5.363350	0.658944	0.005990	0.459463
-25.871469	-4.946373	0.662272	0.006291	0.459318
-26.993027	-4.600815	0.665600	0.006563	0.459099
-26.333416	-4.767904	0.668928	0.006403	0.459330
-24.297260	-5.674394	0.672256	0.005910	0.458940
-25.629321	-5.314444	0.675584	0.006233	0.458538
-26.603797	-5.001674	0.678912	0.006469	0.458383
-29.176704	-4.005940	0.682240	0.007092	0.458454
-27.743507	-4.453452	0.685568	0.006745	0.458717
