Thu Oct 24 20:11:39 2024

Number of Points = 51000
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
0.000000	0.408207	0.000000	0.000197	0.497848

0.389820	0.262644	0.003328	0.000102	0.497852
0.624100	0.169963	0.006656	0.000045	0.497840
0.429774	0.244109	0.009984	0.000093	0.497843
0.288689	0.296218	0.013312	0.000127	0.497840
0.276875	0.301041	0.016640	0.000130	0.497841
0.373366	0.266975	0.019968	0.000106	0.497847
0.684343	0.049281	0.023296	0.000031	0.497586
0.400734	0.132182	0.026624	0.000100	0.497523
0.292255	0.107553	0.029952	0.000126	0.497353
0.146623	0.113267	0.033280	0.000161	0.497225
0.323967	0.010059	0.036608	0.000118	0.497130
0.371303	-0.092359	0.039936	0.000107	0.496910
0.129233	-0.109303	0.043264	0.000166	0.496628
0.425169	-0.299400	0.046592	0.000094	0.496424
0.236062	-0.336453	0.049920	0.000140	0.496141
0.220281	-0.435280	0.053248	0.000144	0.495868
0.149571	-0.504986	0.056576	0.000161	0.495617
0.241573	-0.654351	0.059904	0.000139	0.495317
-0.059624	-0.666089	0.063232	0.000212	0.494990
-0.003167	-0.804148	0.066560	0.000198	0.494685
-0.212949	-0.848961	0.069888	0.000249	0.494361
-0.083514	-1.017857	0.073216	0.000217	0.494046
0.121440	-1.252584	0.076544	0.000168	0.493634
0.294561	-1.491968	0.079872	0.000126	0.493177
0.086977	-1.596103	0.083200	0.000176	0.492698
-0.095729	-1.718333	0.086528	0.000221	0.492196
-0.414280	-1.761821	0.089856	0.000298	0.491766
-0.081289	-2.059237	0.093184	0.000217	0.491314
0.157706	-2.345155	0.096512	0.000159	0.490798
0.014135	-2.508851	0.099840	0.000194	0.490223
-0.603928	-2.478876	0.103168	0.000344	0.489688
-0.737420	-2.629661	0.106496	0.000376	0.489156
-0.472565	-2.918149	0.109824	0.000312	0.488657
-0.146794	-3.274314	0.113152	0.000233	0.488039
-0.293508	-3.465513	0.116480	0.000269	0.487385
-0.817454	-3.495644	0.119808	0.000396	0.486780
-1.071971	-3.612019	0.123136	0.000458	0.486216
-0.613672	-4.003108	0.126464	0.000347	0.485634
-0.630332	-4.248499	0.129792	0.000351	0.484963
-0.885849	-4.406306	0.133120	0.000413	0.484285
-1.000500	-4.607913	0.136448	0.000441	0.483631
-1.156103	-4.791175	0.139776	0.000478	0.482983
-1.001578	-5.102989	0.143104	0.000441	0.482303
-0.874426	-5.422231	0.146432	0.000410	0.481575
-1.034139	-5.637894	0.149760	0.000449	0.480833
-1.300806	-5.799914	0.153088	0.000514	0.480126
-1.338736	-6.048082	0.156416	0.000523	0.479419
-1.204483	-6.391939	0.159744	0.000491	0.478627
-1.321067	-6.632212	0.163072	0.000519	0.477858
-1.410459	-6.892646	0.166400	0.000541	0.477061
-1.650822	-7.091084	0.169728	0.000599	0.476276
-1.983944	-7.252440	0.173056	0.000680	0.475496
-2.001278	-7.524486	0.176384	0.000684	0.474738
-1.966112	-7.826170	0.179712	0.000676	0.473951
-1.932641	-8.128026	0.183040	0.000667	0.473161
-2.269911	-8.292504	0.186368	0.000749	0.472363
-2.275322	-8.582864	0.189696	0.000751	0.471561
-2.525471	-8.769120	0.193024	0.000811	0.470791
-2.408549	-9.108698	0.196352	0.000783	0.469978
-2.511997	-9.377284	0.199680	0.000808	0.469131
-3.369522	-9.342960	0.203008	0.001016	0.468333
-4.027793	-9.337564	0.206336	0.001176	0.467661
-4.934191	-9.210692	0.209664	0.001395	0.467066
-6.853583	-8.589821	0.212992	0.001860	0.466781
-9.030021	-7.768426	0.216320	0.002387	0.466782
-9.681343	-7.458108	0.219648	0.002545	0.466962
-7.300978	-8.312994	0.222976	0.001969	0.467080
-7.254477	-8.409187	0.226304	0.001957	0.466862
-8.587331	-7.938190	0.229632	0.002280	0.466774
-9.130481	-7.731769	0.232960	0.002412	0.466779
-8.829750	-7.847685	0.236288	0.002339	0.466772
-7.114508	-8.493483	0.239616	0.001923	0.466775
-7.780001	-8.357263	0.242944	0.002085	0.466457
-8.692146	-8.064095	0.246272	0.002306	0.466316
-10.318227	-7.428322	0.249600	0.002700	0.466378
-8.131869	-8.225723	0.252928	0.002170	0.466453
-7.622808	-8.528105	0.256256	0.002047	0.466147
-7.506448	-8.717625	0.259584	0.002019	0.465742
-9.402832	-8.077997	0.262912	0.002478	0.465532
-11.711896	-7.202141	0.266240	0.003037	0.465546
-12.593321	-6.704841	0.269568	0.003251	0.466004
-7.429361	-8.644499	0.272896	0.002000	0.466026
-9.163692	-8.110993	0.276224	0.002420	0.465691
-10.522512	-7.652909	0.279552	0.002749	0.465540
-14.421301	-6.082070	0.282880	0.003694	0.465819
-8.688663	-8.132245	0.286208	0.002305	0.466130
-8.796022	-8.225075	0.289536	0.002331	0.465759
